actual_signal_col,actual_signal_label,target_clean,n_obs,ic,ic_p_value,rank_ic,rank_ic_p_value,icir_36m,rank_icir_36m,rolling_ic_sig_ratio,rolling_rank_ic_sig_ratio
actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合全价(3-5年)指数,75,-0.3048801527836258,0.003911285443218261,-0.15063766083804375,0.09852109004831221,-0.9036724449715444,-0.8168650523816574,0.48,0.30666666666666664
actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合全价(5-7年)指数,75,-0.27888167540160985,0.007698555773023778,-0.13216080976421216,0.1291772877114112,-0.9805028535117803,-0.7759067849419063,0.4533333333333333,0.4266666666666667
actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合净价(3-5年)指数,75,-0.3044885777554216,0.003953146011290869,-0.13639508813529855,0.12163769655951756,-0.9435321331389144,-0.8460956771882254,0.48,0.25333333333333335
actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合净价(5-7年)指数,75,-0.27933511774514225,0.007612018652423746,-0.12578800696328413,0.14111185089040446,-0.9678925288691,-0.7411807277928815,0.4666666666666667,0.4266666666666667
actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合财富(3-5年)指数,75,-0.3044769576675638,0.00395439421423591,-0.13639508813529855,0.12163769655951756,-0.9435175991893172,-0.8460956771882254,0.48,0.25333333333333335
actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-新综合财富(5-7年)指数,75,-0.2789640474357937,0.007682772763626361,-0.12578800696328413,0.14111185089040446,-0.9670293177316889,-0.7411807277928815,0.4666666666666667,0.4266666666666667
actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合全价(3-5年)指数,75,-0.3029791338044714,0.004118209297079345,-0.1277554494387384,0.13735175154135834,-0.9351822409207351,-0.8282136948966283,0.48,0.25333333333333335
actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合全价(5-7年)指数,75,-0.2692475534221756,0.009748131355110889,-0.12583077745188093,0.14102938979980184,-0.9395710803174907,-0.7125635960026789,0.4533333333333333,0.3466666666666667
actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合净价(3-5年)指数,75,-0.3027237751613845,0.004146722987544557,-0.1277554494387384,0.13735175154135834,-0.9346250437274809,-0.8282136948966283,0.48,0.25333333333333335
actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合净价(5-7年)指数,75,-0.269235383356782,0.009750990073490956,-0.12583077745188093,0.14102938979980184,-0.9395764984923277,-0.7125635960026789,0.4533333333333333,0.3466666666666667
actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合财富(3-5年)指数,75,-0.30485834362739717,0.003913606641684268,-0.15063766083804375,0.09852109004831221,-0.9036175670753323,-0.8168650523816574,0.48,0.30666666666666664
actual_signal_vs_lag1_actual,actual_gdp_yoy - actual_gdp_lag1,中债-综合财富(5-7年)指数,75,-0.2788865772480258,0.007697615766436374,-0.13216080976421216,0.1291772877114112,-0.9805425205722293,-0.7759067849419063,0.4533333333333333,0.4266666666666667
