target_clean,month,window_n,rolling_ic,rolling_ic_p_value,rolling_ic_sig_5pct,rolling_rank_ic,rolling_rank_ic_p_value,rolling_rank_ic_sig_5pct,signal_type
中债-新综合全价(3-5年)指数,2015-02,1,,,False,,,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2015-03,2,,,False,,,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2015-04,3,-0.3978528139921843,0.3697554668832203,False,-0.5,0.3333333333333333,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2015-05,4,-0.3158036134057967,0.34209819329710167,False,-0.6000000000000001,0.2,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2015-07,5,0.2490271231905325,0.6568814154922251,False,-0.09999999999999999,0.4364442857847692,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2015-08,6,0.31042215962046127,0.7253384011060338,False,0.14285714285714288,0.6064139941690962,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2016-03,7,0.3090277196908567,0.7499672936371444,False,0.14285714285714288,0.6200273498909536,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2016-04,8,0.23525441938177294,0.712548584281584,False,0.14285714285714288,0.6321175700600941,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2016-05,9,0.22745870093367493,0.7219295516993063,False,0.21666666666666667,0.712242552144037,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2016-06,10,0.16408462957093264,0.6747131770470791,False,0.01818181818181818,0.5198797909356879,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2016-11,11,-0.09016546165027547,0.3960274490937986,False,-0.11818181818181818,0.36464238975989005,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2018-02,11,-0.01076189655566187,0.4874737180037391,False,0.06363636363636364,0.5737304637287391,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2018-03,11,0.20636969075358524,0.72867493633777,False,0.22727272727272727,0.7492321661975315,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2018-04,11,0.1916991597793801,0.7138506220653111,False,0.2545454545454546,0.7749817115555858,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2018-09,9,0.1636098357619961,0.6629787798943048,False,0.25,0.741755223849387,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2018-10,10,0.23339329637444944,0.7418171089594121,False,0.38181818181818183,0.861872333307282,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2018-11,11,0.2585696456667637,0.7786729603351423,False,0.4000000000000001,0.88856582493324,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2019-01,12,0.2691684055006289,0.8012236656327156,False,0.41958041958041964,0.9127404959349703,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2019-02,13,0.29798264917286793,0.8386302228396657,False,0.4175824175824176,0.9221626231832627,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2019-03,13,0.32168891161422475,0.8580994382689339,False,0.4945054945054945,0.9570882346951962,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2019-04,13,0.26601589052774144,0.8101571935338692,False,0.5,0.9590678844171528,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2019-05,13,0.2756901915917686,0.819038126957189,False,0.5,0.9590678844171528,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2019-06,13,0.32903520333209596,0.8638424521106872,False,0.576923076923077,0.9805036882837759,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2019-09,14,0.3466221211164064,0.8876476027189578,False,0.5560439560439561,0.9805281747906697,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2019-11,14,0.5812008056731595,0.9853640703983539,False,0.6923076923076923,0.996964475625005,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2019-12,15,0.547166612746846,0.982614278112926,False,0.7071428571428571,0.9984022593708775,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-03,16,-0.38068211509591526,0.07288299129386272,False,0.4058823529411764,0.9406041577338127,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-05,17,-0.6415151573894454,0.0027536903482444845,True,0.17156862745098042,0.7448668450641027,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-06,18,-0.5617031804657266,0.007636148009474858,True,0.03199174406604747,0.550140660855559,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-07,19,-0.5758064703459351,0.004941268358760772,True,-0.0894736842105263,0.35783137442158225,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-08,20,-0.5985157615115628,0.0026519801835745236,True,-0.18796992481203004,0.21371062901133198,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-09,21,-0.5838823582809666,0.002726345790991191,True,-0.20519480519480518,0.18611868192716322,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-10,22,-0.538283650904322,0.004878509580160841,True,-0.20722755505364204,0.17739275611290167,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-11,23,-0.45826607347399645,0.013933667549829838,True,-0.12549407114624506,0.28415274010365854,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2020-12,24,-0.4398032469521202,0.015756229755762432,True,-0.11478260869565216,0.2966466668457706,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2021-01,25,-0.4155106638773266,0.019431002210351794,True,-0.08076923076923077,0.35056378742665983,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2021-02,25,-0.41504555744211497,0.019551620872673467,True,-0.09769230769230769,0.3211203932826305,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2021-03,25,-0.3723731639977655,0.03339323675740091,True,-0.11461538461538462,0.2926908276960334,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2021-04,25,-0.34792388902251603,0.044164986950015965,True,-0.1346153846153846,0.26058325170841196,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2021-05,26,-0.23874567635059582,0.12008173860722389,False,-0.08307692307692308,0.3432990772458444,False,ic_signal_vs_lag1_actual
中债-新综合全价(3-5年)指数,2021-06,27,-0.3253454669740216,0.04886553323274488,True,-0.16971916971916973,0.19868663301053485,False,ic_signal_vs_lag1_actual
