,h
GDP同比,0.0142382078093845
制造业PMI_去季节性,0.3867221367039277
服务业PMI,0.8826171114312256
工业增加值,0.3749993762929852
用电量,0.5694967652290002
社零,0.0967879310352049
固投当月同比_去季节性,0.6012021259263349
CPI,0.0796892112952059
PPI,0.005
逆回购7天(19日),0.7150846338133264
银行间7天回购(20-19均值)_去季节性,0.9068608745101427
