month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
1991-12,,,,0.38547961780150036,,,,2.5561899315480265,,,,
1992-01,,,,-0.18042418057132928,,,,2.6424740167350675,,,,
1992-02,,,,1.1037421311208613,,,,3.505314868605477,,,,
1992-03,,,,2.757922464826056,,-1.384820436670915,,3.332746698231395,,,,
1992-04,7.036829435825014,,,0.7296470721003617,,-1.384820436670915,,2.6424740167350675,,,,
1992-05,,,,0.7296470721003617,,-1.384820436670915,,2.6424740167350675,,,,
1992-06,,,,0.7296470721003617,,-1.384820436670915,,2.6424740167350675,,,,
1992-07,7.4775494422441176,,,0.7296470721003617,,-1.384820436670915,,2.6424740167350675,,,,
1992-08,,,,0.7296470721003617,,-1.384820436670915,,2.6424740167350675,,,,
1992-09,,,,0.7296470721003617,,-1.384820436670915,,2.6424740167350675,,,,
1992-10,7.918269448663221,,,0.7296470721003617,,-1.384820436670915,,2.6424740167350675,,,,
1992-11,,,,0.7296470721003617,,-1.384820436670915,,2.6424740167350675,,,,
1992-12,,,,0.7296470721003617,,-1.384820436670915,,2.6424740167350675,,,,
1993-01,7.918269448663221,,,0.7296470721003617,,-1.384820436670915,,2.6424740167350675,,,,
1993-02,,,,0.5596038634546789,,,,7.646950957583446,,,,
1993-03,,,,4.760351289837607,,-1.384820436670915,,7.819519127957527,,,,
1993-04,8.535277457649967,,,0.7296470721003617,,-1.384820436670915,4.863703271236276,2.6424740167350675,,,,
1993-05,,,,0.7296470721003617,,-1.384820436670915,3.471727073339423,2.6424740167350675,,,,
1993-06,,,,0.7296470721003617,,-1.384820436670915,4.50051471730977,2.6424740167350675,,,,
1993-07,6.948685434541194,,,0.7296470721003617,,-1.384820436670915,4.204596281204723,2.6424740167350675,,,,
1993-08,,,,0.7296470721003617,,-1.384820436670915,3.1582946255483733,2.6424740167350675,,,,
1993-09,,,,0.7296470721003617,,-1.384820436670915,2.079058228290433,2.6424740167350675,,,,
1993-10,6.507965428122091,,,0.7296470721003617,,-1.384820436670915,2.3482816896096623,2.6424740167350675,,,,
1993-11,,,,0.7296470721003617,,-1.384820436670915,3.4288011802922576,2.6424740167350675,,,,
1993-12,,,,0.7296470721003617,,-1.384820436670915,3.201866891473488,2.6424740167350675,,,,
1994-01,7.5656934435279375,,,0.7296470721003617,,-1.384820436670915,39.46541538639878,2.6424740167350675,,,,
1994-02,,,,4.760351289837607,,,,16.965632157783872,,,,
1994-03,,,,-0.5286726718776861,,-1.384820436670915,-4.039567461277374,18.77759794671173,,,,
1994-04,7.5656934435279375,,,0.7296470721003617,,-1.384820436670915,2.630845175571902,2.6424740167350675,,,,
1994-05,,,,0.7296470721003617,,-1.384820436670915,3.005768673839641,2.6424740167350675,,,,
1994-06,,,,0.7296470721003617,,-1.384820436670915,2.471140279073898,2.6424740167350675,,,,
1994-07,6.8605414332573735,,,0.7296470721003617,,-1.384820436670915,3.13828291415728,2.6424740167350675,,,,
1994-08,,,,0.7296470721003617,,-1.384820436670915,3.3835946464337714,2.6424740167350675,,,,
1994-09,,,,0.7296470721003617,,-1.384820436670915,0.8502319437070812,2.6424740167350675,,,,
1994-10,6.596109429405911,,,0.7296470721003617,,-1.384820436670915,1.9269466675399187,2.6424740167350675,,,,
1994-11,,,,0.7296470721003617,,-1.384820436670915,2.0845528456352884,2.6424740167350675,,,,
1994-12,,,,0.7296470721003617,,-1.384820436670915,1.9296779112939737,2.6424740167350675,,,,
1995-01,5.7146694165677046,,,0.7296470721003617,,-1.384820436670915,32.803450308310865,2.6424740167350675,,,,
1995-02,,,,1.212569784654098,,6.515406506310438,,19.5541547133951,,,,
1995-03,,,,2.104956543626637,,5.133442609579006,2.0197669863074066,18.0873252652154,,,,
1995-04,5.626525415283885,,,0.7296470721003617,,1.9451943179905657,2.447867312962559,2.6424740167350675,,,,
1995-05,,,,0.7296470721003617,,1.9451943179905657,2.1013546108663728,2.6424740167350675,,,,
1995-06,,,,0.7296470721003617,,1.9451943179905657,1.3160558255568333,2.6424740167350675,,,,
1995-07,4.745085402445678,,,0.7296470721003617,,1.9451943179905657,0.5167636153444954,2.6424740167350675,,,,
1995-08,,,,0.7296470721003617,,1.9451943179905657,1.9719478935040775,2.6424740167350675,,,,
1995-09,,,,0.7296470721003617,,1.9451943179905657,1.880367601875409,2.6424740167350675,,,,
1995-10,4.304365396026575,,,0.7296470721003617,,1.9451943179905657,1.1981066650719898,2.6424740167350675,,,,
1995-11,,,,0.7296470721003617,,1.9451943179905657,2.426336508260918,2.6424740167350675,,,,
1995-12,,,,0.7296470721003617,,1.9451943179905657,1.8050691033351667,2.6424740167350675,,,,
1996-01,4.568797399878037,,,0.7296470721003617,,1.9451943179905657,0.18878257273744795,2.6424740167350675,,,,
1996-02,,,,2.409673973519699,,3.0144313012574773,,6.525257850151911,,,,
1996-03,,,,1.386694030307276,,5.087377146354625,-0.09524125579763204,6.784110105713035,,,,
1996-04,4.745085402445678,,,0.7296470721003617,,1.9451943179905657,0.5159749690250403,2.6424740167350675,,,,
1996-05,,,,0.7296470721003617,,1.9451943179905657,1.0217829926082693,2.6424740167350675,,,,
1996-06,,,,0.7296470721003617,,1.9451943179905657,0.634431964558179,2.6424740167350675,,,,
1996-07,3.3347813819045475,,,0.7296470721003617,,1.9451943179905657,0.761787033926119,2.6424740167350675,,,,
