,macro,real,nominal
GDP同比,0.04128096752707982,0.04272988809848765,0.0
制造业PMI_去季节性,0.07191053172887424,0.06195369524070989,0.0
服务业PMI,0.10166099095902098,0.06934318340211035,0.0
工业增加值,0.012529216230820742,0.028196757519578123,0.0
用电量,0.03631015357072424,0.051044936948548655,0.0
社零,0.10222435155182243,0.11618892253931182,0.0
固投当月同比_去季节性,-0.010626633857337118,0.0014036816701126084,0.0
CPI,0.12823701257341624,0.0,0.019999094324921203
PPI,0.13845248551228553,0.0,0.1317251489476249
失业率差分_去季节性,-0.013653545826142267,-0.02839379791031282,0.0
逆回购7天(19日),0.262993745061193,0.0,0.1928576105103965
银行间7天回购(20-19均值)_去季节性,0.27742486902590624,0.0,0.30766055457624947
