,h
GDP同比,0.07048989580864962
制造业PMI,0.8321180782707172
服务业PMI,0.7193958086611185
工业增加值,0.8113712526722318
用电量,0.8586424369124355
社零,0.07715101989514953
固投当月同比_去季节性,0.952059651205287
CPI,0.005
PPI,0.9458830276347155
失业率差分_去季节性,0.9348252078271124
逆回购7天(19日),0.005
银行间7天回购(20-19均值),0.4462061046153892
