,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6
macro,3.567982898971611,-6.279910728674338,7.1567567738501525,-5.466420087232409,2.6201338332010393,-0.6049097876410837
real,3.9718631085196128,-7.641990446243505,9.12971379041693,-7.114718435610591,3.449730741448505,-0.8156969691513273
nominal,3.65245484060998,-6.574125993515892,7.607304089818337,-5.899749478617451,2.872084483657055,-0.6732917993038788
