,macro_alpha_t,macro_alpha_lag1,macro_alpha_lag2,macro_alpha_lag3,macro_alpha_lag4,macro_alpha_lag5,macro_S_t,macro_S_lag1,real_alpha_t,real_alpha_lag1,real_alpha_lag2,real_alpha_lag3,real_alpha_lag4,real_alpha_lag5,real_S_t,real_S_lag1,nominal_alpha_t,nominal_alpha_lag1,nominal_alpha_lag2,nominal_alpha_lag3,nominal_alpha_lag4,nominal_alpha_lag5,nominal_S_t,nominal_S_lag1
2010-01,64.04033403322421,42.053674133046115,12.46966843368842,-7.233117549308375,0.5018861078709015,33.830009503460175,29.406401850721537,60.54145273700047,-43.98705707522582,-59.5265709481341,-60.16120124116704,-49.2282857507036,-67.2888373000752,-59.895237174514754,-164.7784105465839,-274.18730596363145,-95.89851338690208,-99.84356538812202,-99.22952802837196,-81.87067096791577,-63.08620299706607,-48.64301388954219,-0.28006319989813727,-0.28006320072644003
2010-02,74.68636911869906,64.04033403322421,42.05367413304611,12.469668433688415,-7.2331175493083695,0.5018861078709024,104.09277096942108,29.406401850721274,-63.818911330738956,-43.98705707522582,-59.5265709481341,-60.16120124116704,-49.2282857507036,-67.2888373000752,-228.59732187732286,-164.7784105465839,-96.12434359673406,-95.89851338690208,-99.84356538812202,-99.22952802837196,-81.87067096791579,-63.08620299706606,-96.40440679663219,-0.2800631998981426
2010-03,79.72447279209152,74.68636911871575,64.04033403322443,42.053674133045135,12.469668433689975,-7.233117549310051,183.817243761542,104.0927709694304,-46.183408730128356,-63.81891133073898,-43.98705707522581,-59.526570948134115,-60.16120124116704,-49.2282857507036,-274.7807306074498,-228.5973218773236,-84.72209476023357,-96.1243435967356,-95.89851338690212,-99.84356538812187,-99.22952802837196,-81.87067096791577,-181.1265015569005,-96.40440679661707
2010-04,81.907422049447,79.72447279214086,74.68636911873405,64.04033403322359,42.05367413304451,12.469668433690396,81.907422049447,183.8172437615797,-50.205830568333404,-46.18340873012717,-63.81891133073592,-43.98705707522577,-59.5265709481337,-60.161201241167035,-50.205830568333404,-274.7807306074485,-61.976560698377405,-84.72209476031637,-96.12434359671961,-95.89851338690308,-99.84356538811981,-99.2295280283764,-61.976560698377405,-181.12650155691716
2010-05,77.03945068384306,81.90742204945207,79.72447279214032,74.68636911873607,64.04033403322356,42.05367413304464,158.9468727332909,81.90742204945207,-57.20356899752857,-50.20583056833408,-46.18340873012781,-63.818911330735915,-43.98705707522565,-59.5265709481338,-107.40939956586402,-50.20583056833408,-44.753383381432315,-61.97656069835303,-84.72209476030193,-96.12434359671396,-95.89851338690296,-99.84356538812071,-106.72994407980511,-61.97656069835303
2010-06,61.70315581369348,77.03945068384763,81.90742204945725,79.72447279214012,74.68636911873723,64.04033403322356,220.65002854699975,158.94687273330814,-43.18806336776925,-57.20356899752804,-50.205830568334086,-46.18340873012733,-63.8189113307357,-43.98705707522557,-150.5974629336309,-107.40939956586189,-26.331634846327653,-44.75338338144659,-61.97656069837497,-84.72209476031097,-96.12434359671602,-95.89851338690278,-133.061578926144,-106.72994407981476
2010-07,40.706621202591506,61.703155813693435,77.03945068384832,81.90742204945523,79.72447279214073,74.6863691187374,40.706621202591506,220.65002854700782,-52.597458512928405,-43.188063367768784,-57.2035689975275,-50.20583056833384,-46.1834087301273,-63.818911330735624,-52.597458512928405,-150.5974629336307,4.4114922718024445,-26.331634846335007,-44.753383381447414,-61.97656069837689,-84.72209476031176,-96.12434359671636,4.4114922718024445,-133.0615789261612
2010-08,23.928976803476715,40.7066212025892,61.703155813689364,77.03945068384861,81.90742204945714,79.72447279214066,64.63559800606993,40.7066212025892,-53.26198452071492,-52.597458512928334,-43.18806336776937,-57.203568997527796,-50.205830568334136,-46.18340873012722,-105.8594430336426,-52.597458512928334,33.293415852087634,4.4114922717813565,-26.331634846342972,-44.75338338145346,-61.97656069837283,-84.72209476030696,37.704908123866275,4.4114922717813565
2010-09,16.730064490841702,23.928976803476203,40.70662120258695,61.70315581368721,77.03945068384802,81.90742204945676,81.36566249690273,64.63559800606295,-41.34250242434192,-53.26198452071503,-52.597458512927965,-43.18806336776949,-57.20356899752794,-50.20583056833431,-147.2019454579863,-105.85944303364354,54.460779143154234,33.29341585209209,4.411492271789454,-26.331634846338233,-44.75338338145284,-61.97656069837097,92.16568726705623,37.70490812386332
2010-10,15.886811070065193,16.730064490841144,23.928976803470857,40.70662120258926,61.703155813686614,77.03945068384903,15.886811070065193,81.36566249690509,-58.13793685920798,-41.34250242434228,-53.26198452071496,-52.597458512927794,-43.18806336776938,-57.20356899752789,-58.13793685920798,-147.201945457986,82.96538168657851,54.46077914314607,33.29341585210114,4.411492271798762,-26.331634846344762,-44.753383381455585,82.96538168657851,92.16568726702388
