,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6
macro,2.7230595240490003,-3.505984753390069,2.912554335159213,-1.6712158596593463,0.6484382177057593,-0.13924350810408737
real,1.8176076705347752,-1.5894865675377705,1.4267978219241466,-1.4115333418607159,0.9719031270075886,-0.2953296344992725
nominal,1.384974810064894,0.6627584193654572,-2.188098987964924,0.719821977486427,1.120434587567946,-0.7752244618060931
