qn_iter,eval_count,loglike,best_loglike,improvement,best_improvement,relative_loglike_change,aitken_loglike_limit,aitken_relative_gap,small_change_streak,max_ar_spectral_radius,min_h,max_h
1,76,-151.66749757023535,-151.66749749398684,0.083656673591463,0.08365674983997451,0.000551275369260436,,,0,1.0098835772226142,0.005,0.952059651205287
2,95,-151.62409873029165,-151.6240982821449,0.12705551353516853,0.12705596168191846,0.00028614462979194375,,,0,1.0101360215709017,0.005,0.952059651205287
3,114,-151.60056783414933,-151.6005676336516,0.15058640967748715,0.15058661017522468,0.00015519232324787163,-151.57269866566386,0.000183832876641697,0,1.0107763030947226,0.005,0.952059651205287
4,133,-151.57949731142892,-151.57949723691164,0.17165693239789448,0.17165700691518282,0.0001389870962980721,-151.39905034197406,0.0011904444377732967,0,1.011972014567897,0.005,0.952059651205287
5,152,-151.55695735435725,-151.55695728090942,0.19419688946956626,0.19419696291740252,0.00014870056618120406,-151.90270241221276,0.0022812879322136217,0,1.0131161079162978,0.005,0.952059651205287
6,171,-151.51030187986925,-151.51030176794052,0.24085236395757192,0.24085247588629954,0.00030784119252882534,-151.60056464562797,0.0005957533226373706,0,1.0131491875557153,0.005,0.952059651205287
7,190,-151.3530910659278,-151.3530908907788,0.3980631778990187,0.3980633530480304,0.0010376245838787741,-151.57664643776528,0.0014770453002515757,0,1.0095836593175413,0.005,0.952059651205287
8,209,-151.15496335773446,-151.15496322514258,0.5961908860923586,0.5961910186842374,0.0013090430251407128,-152.1143369727573,0.006346954103996588,0,1.0232198731717774,0.005,0.952059651205287
9,228,-150.87426278795002,-150.87426251147988,0.8768914558768017,0.8768917323469338,0.001857038389934418,-151.82848440942524,0.006324614973041239,0,1.0301872271331585,0.005,0.952059651205287
10,247,-150.59671361819525,-150.59671314895303,1.1544406256315654,1.154441094873789,0.0018396058056956474,-126.15248536850751,0.16231581461771263,0,1.0273333450026145,0.005,0.952059651205287
11,266,-150.41298715578,-150.412986383845,1.3381670880468164,1.3381678599818088,0.0012199898523751916,-150.0532084417692,0.0023919391590714106,0,1.0196521453837069,0.005,0.952059651205287
12,285,-150.04321112398583,-150.0432099704947,1.7079431198409907,1.7079442733321173,0.002458404947514299,-150.77814598110965,0.004898154682363578,0,1.0267617574717136,0.005,0.952059651205287
13,304,-149.4448886171908,-149.44488707587698,2.3062656266360193,2.3062671679498408,0.0039876679678670325,-151.0112650932933,0.010481298427775891,0,1.0433272729872396,0.005,0.952059651205287
