,macro,real,nominal
GDP同比,0.038983879882809394,0.03220031551014401,0.0
制造业PMI_去季节性,0.012762810574071071,-0.21926994809829367,0.0
服务业PMI,0.03618374338793065,-0.06561205761671822,0.0
工业增加值,0.06392331415734621,0.01270624835376115,0.0
用电量,0.009101844256521911,-0.08512850294280748,0.0
社零,0.11586250262961378,0.12914344070236178,0.0
固投当月同比_去季节性,0.05664391257916558,0.05663408266228246,0.0
CPI,-0.004748096850545257,0.0,0.11848087953100263
PPI,0.00790263423644075,0.0,-0.03297662428898704
失业率差分_去季节性,-0.00945469303187784,0.07026591774020609,0.0
逆回购7天(19日),0.06003777269518323,0.0,0.041124209104304685
银行间7天回购(20-19均值),0.06697727916707981,0.0,0.03002921429241072
