,macro,real,nominal
GDP同比,0.013394296570530055,0.007536356143974817,0.0
制造业PMI_去季节性,0.02600170726748249,0.020689779137417562,0.0
服务业PMI,0.021671880231559408,-0.06060963968173796,0.0
工业增加值,0.03680125563893201,0.01390241500114309,0.0
社零,0.03686873163636491,-0.015238950970333199,0.0
固投累计同比_去季节性,0.06331434432277812,-0.026492864689440027,0.0
CPI,0.04558225703923045,0.0,0.22814863354731646
PPI,0.053340569467134474,0.0,0.15673024395221152
逆回购7天(19日),0.023805860222169156,0.0,0.012603554534888777
银行间7天回购(20-19均值),-0.004058114820546557,0.0,0.12458200794541573
