,macro,real,nominal
GDP同比,0.029011754044624468,0.0006878916019597161,0.0
制造业PMI_去季节性,0.030378462281562345,0.0009478131883107356,0.0
服务业PMI,0.041803522664544075,0.0011944626780222441,0.0
工业增加值,0.053468582192731366,0.0007889632290117223,0.0
用电量,0.001900647799255644,0.0006319683672198279,0.0
社零,0.08337622322668821,0.002026735989104404,0.0
固投当月同比_去季节性,0.02493040768228247,6.873013883737591e-05,0.0
CPI,-0.024119111138392532,0.0,0.5137054435691759
PPI,-0.024195597901344377,0.0,-0.11992464765918061
失业率差分,-0.00450299755085679,-0.0005819563316960058,0.0
逆回购7天(19日),0.08312225139128183,0.0,0.014288240368607206
银行间7天回购(20-19均值),0.06528929418357331,0.0,-0.02093391677497638
