,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6
macro,2.9780690338716194,-4.384358135781132,4.625018090540342,-3.5384993652389443,1.7339115873337732,-0.4228697496142934
real,5.400563603524364,-12.77265655338216,16.96170657565009,-13.337978455665922,5.8781261246664105,-1.1307100262632739
nominal,0.9975127210147419,-0.02798528998589536,-0.24119379865706086,0.2124468860964807,-0.05806272801545834,-0.004258428949768617
