,h
GDP同比,0.0301910016459688
制造业PMI_去季节性,0.4245954118441244
服务业PMI,0.4966483798935949
工业增加值,0.3614968234972112
社零,0.1988272220412849
固投累计同比_去季节性,0.5572529808850373
CPI,0.0211201412648
PPI,0.3150245266144228
逆回购7天(19日),0.9973465675226316
银行间7天回购(20-19均值),0.2729037211085623
