qn_iter,eval_count,loglike,best_loglike,improvement,best_improvement,relative_loglike_change,aitken_loglike_limit,aitken_relative_gap,small_change_streak,max_ar_spectral_radius,min_h,max_h
1,76,12.938695411327664,12.938696009009156,0.0204750239504232,0.0204756216319168,0.0015849724912906,,,0,0.9876857098254808,0.0211201412648,0.9973465675226316
2,95,12.95411918544139,12.954119693940374,0.0358987980641511,0.0358993065631345,0.0011920656313019,,,0,0.987681947769168,0.0211201412648,0.9973465675226316
3,114,13.082372670948754,13.082372687259909,0.1641522835715143,0.1641522998826694,0.0099005948356181,12.936586987890497,0.0111436729961069,0,0.9876298240359406,0.0211201412648,0.9973465675226316
4,133,13.293171931011129,13.293171931011129,0.3749515436338875,0.3749515436338875,0.0161132284918379,12.7548484579758,0.0404962394099103,0,0.9875146931871668,0.0211201412648,0.9973465675226316
5,152,13.88064457322228,13.88064457322228,0.9624241858450392,0.9624241858450392,0.0441935638281078,12.964402221883963,0.06600863140793,0,0.9918733355928344,0.0211201412648,0.9973465675226316
6,171,14.761077447828471,14.761077447828471,1.842857060451233,1.842857060451233,0.0634288177297381,12.11511406791806,0.1792527265887128,0,1.003447827911859,0.0211201412648,0.9973465675226316
7,190,16.559325426747858,16.559325426747858,3.6411050393706175,3.6411050393706175,0.1218236260378085,13.036071365563654,0.2127655547787702,0,1.009767710098002,0.0211201412648,0.9973465675226316
8,228,16.984453785230684,16.98445458295571,4.066233397853445,4.06623419557847,0.0256730481180185,17.116076783326687,0.0077496161937488,0,1.0084662026529538,0.0211201412648,0.9973465675226316
9,247,17.77354936739344,17.77354936739344,4.8553289800162,4.8553289800162,0.0464598739612654,16.06275840250053,0.0962548858154043,0,1.0072491613656511,0.0211201412648,0.9973465675226316
10,266,18.023327726355376,18.023328235502603,5.1051073389781365,5.105107848125364,0.0140533752599899,18.1390096032208,0.0064184527198192,0,1.0044486923499916,0.0211201412648,0.9973465675226316
