qn_iter,eval_count,loglike,best_loglike,improvement,best_improvement,relative_loglike_change,aitken_loglike_limit,aitken_relative_gap,small_change_streak,max_ar_spectral_radius,min_h,max_h
1,76,-94.41696197387101,-94.41696171614805,0.030527304488927598,0.030527562211887016,0.0003232198624037124,,,0,0.9745275601165814,0.005,0.9004796802359889
2,114,-94.29908257414752,-94.29908229991166,0.14840670421241953,0.14840697844827844,0.0012484981221500637,,,0,0.97917901378124,0.005,0.9004796802359889
3,133,-94.02324419744828,-94.02324404418759,0.42424508091166047,0.4242452341723464,0.00292514379959475,-94.50493135139682,0.005123064600249291,0,0.9777645612211578,0.005,0.9004796802359889
4,152,-93.85138502473036,-93.85138484714346,0.5961042536295764,0.5961044312164745,0.0018278370862955192,-93.56733230922207,0.0030266225206313766,0,0.9934093390220494,0.005,0.9004796802359889
5,171,-93.67828658021354,-93.6782864330327,0.7692026981464011,0.7692028453272428,0.001844388811856237,-117.85625264103213,0.258095733210447,0,0.9972746195539258,0.005,0.9004796802359889
6,190,-93.26151889226746,-93.26151873473246,1.1859703860924782,1.1859705436274766,0.00444892517957417,-93.97435118604174,0.0076433699798276215,0,1.0054922029929312,0.005,0.9004796802359889
7,209,-92.67136017754702,-92.67136000667168,1.7761291008129234,1.7761292716882622,0.006327998103935842,-94.6800414515423,0.021675318784000697,0,1.0120509486268396,0.005,0.9004796802359889
8,228,-91.9036655300132,-91.90366535587253,2.543823748346739,2.5438239224874053,0.008284055031274024,-95.22330377176345,0.03612084700436842,0,1.0131690684480548,0.005,0.9004796802359889
9,247,-90.9251299040147,-90.92512949407656,3.5223593743452426,3.522359784283381,0.010647405849976038,-95.46661884189047,0.04994756612027942,0,1.0008958400022911,0.005,0.9004796802359889
10,266,-90.17800095515318,-90.17800077996702,4.269488323206758,4.269488498392917,0.008216968726360071,-87.76579023965827,0.0267494365581971,0,0.9939583759885999,0.005,0.9004796802359889
11,285,-89.7802003493866,-89.78020025542484,4.667288928973335,4.667289022935094,0.004411282148119569,-89.32720154446213,0.005045642615650182,0,0.9870143227788318,0.005,0.9004796802359889
12,323,-89.7192262225132,-89.71922616744368,4.728263055846739,4.728263110916259,0.0006791489285624063,-89.70818836064382,0.0001230267171721685,0,0.9868383816875298,0.005,0.9004796802359889
13,342,-89.57380068980956,-89.57380061682264,4.87368858855038,4.873688661537301,0.0016208959754397561,-89.82422382195553,0.00279571850493621,0,0.9870168300455304,0.005,0.9004796802359889
