,h
GDP同比,0.07491149462802361
制造业PMI_去季节性,0.06326007313140587
服务业PMI,0.8585216529196104
工业增加值,0.3587690774964189
用电量,0.5647727309640703
社零,0.10522637061972775
固投当月同比_去季节性,0.7113061278342894
CPI,0.005
PPI,0.5642236591148097
逆回购7天(19日),0.8724600796337109
银行间7天回购(20-19均值)_去季节性,0.6554114582979397
