,macro,real,nominal
GDP同比,0.008268047488963056,-0.0068437710306018295,0.0
制造业PMI_去季节性,0.013649002561565605,-0.01870596923381168,0.0
服务业PMI,0.020026731381213782,0.07729904546160844,0.0
工业增加值,0.021141559123315865,-0.014903476036571104,0.0
社零,0.02745869948550216,0.015722395315220447,0.0
固投累计同比_去季节性,0.02167619675577911,-0.006451333427134271,0.0
CPI,0.05356300257076192,0.0,0.026578700782040967
PPI,0.04184129011773792,0.0,0.011179151158242974
逆回购7天(19日),-7.46373818927838e-05,0.0,0.001068893992439272
银行间7天回购(20-19均值),0.021391594636047947,0.0,0.025482401888408786
