,h
GDP同比,0.037633757356106336
制造业PMI_去季节性,0.16392694429448956
服务业PMI,0.7367003090060045
工业增加值,0.5341692575285275
用电量,0.7392112678720156
社零_去季节性,0.005
CPI,0.005
PPI,0.6876139359798139
失业率差分,0.9004796802359889
逆回购7天(19日),0.6083968224146025
银行间7天回购(20-19均值),0.5811519907357542
