month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2000-10,2.077744618824761,,,1.2071696655287816,,-0.006751350942737022,0.19336420571502824,-2.1658730471128624,0.760736428651903,,-0.6403026834771199,-0.9366881478121283
2000-11,,,,1.2071696655287816,,0.18936518915845102,0.8545628101501667,-2.1658730471128624,0.737899755889896,,-0.6403026834771199,-0.9307735042068089
2000-12,,,,1.2071696655287816,,-0.22738245855657346,0.5267494490125809,-0.8851862759949916,0.715063083127889,,-0.6403026834771199,-0.8688191762422719
2001-01,0.8410433472662139,,,1.2017337792875138,,-0.20286789104392464,-0.6577652558678151,-0.6538065522157918,0.5552063737938404,,-0.4938763841440082,-0.6449523483605449
2001-02,,,,-1.7336447909955832,,0.7041711069240691,,-1.0008761378845916,0.24234395695434524,,-0.4938763841440082,-0.7017913088826422
2001-03,,,,4.318308557612777,,-0.2518970260692219,1.855880873422528,-2.3891544805597906,0.12130959131570847,,-0.4938763841440082,-0.6662587672167744
2001-04,2.648529821082551,,,1.2071696655287816,,-0.03126591845538542,-0.997577868912686,-1.4636355854429912,-0.038547118018340175,,-0.4938763841440082,-0.7316870174653948
2001-05,,,,1.2071696655287816,,0.017763216569911377,1.0369066674640661,-0.5381166903261918,-0.10705713630436103,,-0.4938763841440082,-0.8439468140898153
2001-06,,,,1.1292552960706468,,0.36096716174699023,-0.10483328373102015,-0.422426828436592,-0.12989380906636797,,-0.4938763841440082,-0.8476668538586886
2001-07,1.7923520176958647,,,1.0930160544622136,,0.091306919107857,-0.4870415311857042,-0.7694964141053918,-0.22124050011439575,,-0.4938763841440082,-0.9132464204889529
2001-08,,,,0.36823122229354777,,0.04227778408256021,2.204243484640006,-0.6538065522157918,-0.3810972094484444,,-0.4938763841440082,-0.9330086973718749
2001-09,,,,0.36823122229354777,,-0.006751350942737022,0.3801259989298418,-1.2322558616637913,-0.540953918782493,,-0.4938763841440082,-0.9580795580218264
2001-10,1.2215668154380745,,,0.875580604811614,,0.0667923515952086,-0.19520847480395465,-2.1658730471128624,-0.7464839736405555,,-0.4938763841440082,-1.0361172684472304
2001-11,,,,0.6219059135525812,,0.21387975667109943,0.911582397465834,-2.157774756780591,-0.7921573191645694,,-0.4938763841440082,-1.1375955941594105
2001-12,,,,0.2957527390766814,,0.1158214866205054,0.6916215285674293,-2.1658730471128624,-0.9291773557366111,,-0.4938763841440082,-1.1416955333636147
2002-01,0.7459124802232491,,,0.5856666719441473,,-0.006751350942737022,0.031027568003540947,-2.1658730471128624,-0.9976873740226319,,-1.006368431809899,-1.143283660348122
2002-02,,,,4.173351591179045,,-0.4234989986577611,,-3.5460530994557895,-1.0433607195466459,,-1.006368431809899,-1.1470534637459182
