,h
GDP同比,0.10081149824746008
制造业PMI一阶差分_去季节性,0.980137688340183
服务业PMI,0.7080555572582518
工业增加值,0.9289061551387483
用电量,0.9218610128937837
社零,0.07437776598305398
固投当月同比_去季节性,0.9745448748192211
CPI,0.7843678355022785
PPI,0.9020470048434002
失业率差分_去季节性,0.9658591297515868
逆回购7天(19日),0.005
银行间7天回购(20-19均值),0.07684867240494145
