,macro,real,nominal
GDP同比,0.1612784534157955,-0.0111355223436135,0.0
制造业PMI_去季节性,0.1362272086993619,0.0563995550224433,0.0
服务业PMI,0.1855418348099735,0.019861780280248,0.0
工业增加值,0.3227122151333745,-0.0076638925624704,0.0
用电量,0.1479070847665441,0.0200571446515764,0.0
社零_去季节性,0.4807164805145398,-0.0422045608448147,0.0
CPI,0.0723892960688518,0.0,0.4930466264662428
PPI,0.2152194793097855,0.0,0.0982719435738534
失业率差分,-0.0123213562211867,-0.0258098493904032,0.0
逆回购7天(19日),0.2574461233450215,0.0,0.0511027310072767
银行间7天回购(20-19均值),0.2824152647626638,0.0,-0.0048351631429958
