,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6
macro,1.5342196045684906,-0.32934104250745677,-0.24158936270361683,-0.061803983507098086,0.041473387045980616,0.047328110358374094
real,2.4245903091900005,-2.195009972239056,0.6189609983964827,0.2496005740319648,-0.01964048777118961,-0.11926959467619093
nominal,1.5871261048687801,-0.427822279867048,-0.24771646623024568,-0.039769109547320304,0.06577976973934421,0.03352117199888548
