,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6
macro,2.2544076535823234,-1.941733149101956,1.4827216613901877,-1.242358982221205,0.370012839921443,0.0733418081386867
real,1.6301704857389967,1.0148301682914864,-2.8688894158894187,0.3963344400722158,1.496443872392022,-0.6777237128071604
nominal,3.3238416453,-5.465324352157973,6.005120029732358,-4.616136854872124,2.3918149566900966,-0.643210691737251
