,macro_alpha_t,macro_alpha_lag1,macro_alpha_lag2,macro_alpha_lag3,macro_alpha_lag4,macro_alpha_lag5,macro_S_t,macro_S_lag1,real_alpha_t,real_alpha_lag1,real_alpha_lag2,real_alpha_lag3,real_alpha_lag4,real_alpha_lag5,real_S_t,real_S_lag1,nominal_alpha_t,nominal_alpha_lag1,nominal_alpha_lag2,nominal_alpha_lag3,nominal_alpha_lag4,nominal_alpha_lag5,nominal_S_t,nominal_S_lag1
2014-01,18.256938784879768,18.55158435256429,16.412355304901737,11.448114637018538,6.500507176931458,4.3435935041973375,13.836739229161283,30.07067625713663,-20.51480242328611,-16.44337295275461,-11.83481342820631,-7.592104137335159,-3.6731073384181068,0.4924664172960664,-5.644097571565894,5.679201788092367,-0.8497479251081332,-0.8762316925699057,7.8703724372830175,6.8864563530148,12.976033529090284,0.8082181027724721,-0.03300541701220758,-0.03300541701229286
2014-02,18.446361109233543,18.256938784879814,18.55158435256429,16.412355304901737,11.448114637018532,6.500507176931457,32.28310033839483,13.836739229161289,-22.807991711475722,-20.514802423286124,-16.44337295275459,-11.834813428206342,-7.592104137335132,-3.6731073384181174,-28.452089283041527,-5.644097571565934,-1.991033120553672,-0.8497479251081438,-0.8762316925699056,7.870372437283018,6.886456353014799,12.976033529090286,-2.024038537565886,-0.0330054170122142
2014-03,18.539672584772916,18.446361109233457,18.256938784879797,18.551584352564294,16.412355304901745,11.448114637018545,50.8227729231677,32.28310033839478,-22.875061089652,-22.807991711468993,-20.514802423286003,-16.4433729527548,-11.834813428206028,-7.592104137335413,-51.327150372686226,-28.45208928303503,-1.1059234724126101,-1.991033120553671,-0.8497479251081426,-0.8762316925699062,7.8703724372830175,6.8864563530147995,-3.129962009978496,-2.0240385375658847
2014-04,18.513559091520275,18.539672584772777,18.446361109233433,18.256938784879793,18.551584352564294,16.412355304901794,18.513559091520275,50.82277292316769,-21.575074110511682,-22.875061089651076,-22.807991711468844,-20.514802423286003,-16.443372952754792,-11.834813428206019,-21.575074110511682,-51.327150372685566,-2.278125921295371,-1.1059234724126077,-1.9910331205536689,-0.8497479251081423,-0.8762316925699062,7.870372437283017,-2.278125921295371,-3.129962009978491
2014-05,18.467602559926817,18.513559091520225,18.539672584772767,18.446361109233433,18.256938784879793,18.551584352564294,36.98116165144705,18.513559091520225,-20.486293359142522,-21.57507411051213,-22.875061089651137,-22.807991711468926,-20.51480242328604,-16.443372952754807,-42.06136746965451,-21.57507411051213,-0.9248377935026721,-2.2781259212953677,-1.1059234724126068,-1.9910331205536689,-0.8497479251081423,-0.8762316925699063,-3.2029637147980417,-2.2781259212953677
2014-06,18.45839193938686,18.467602559926814,18.51355909152023,18.539672584772767,18.44636110923343,18.256938784879793,55.43955359083392,36.98116165144705,-20.787656897398918,-20.486293359142365,-21.575074110512606,-22.87506108965119,-22.807991711468794,-20.51480242328607,-62.84902436705379,-42.06136746965453,-1.1900687846741551,-0.9248377935026711,-2.2781259212953673,-1.1059234724126068,-1.9910331205536689,-0.8497479251081423,-4.393032499472192,-3.2029637147980385
2014-07,18.494862578239886,18.45839193938686,18.467602559926817,18.513559091520225,18.539672584772767,18.44636110923343,18.494862578239886,55.43955359083391,-22.541359492811097,-20.787656897399422,-20.48629335914262,-21.575074110512563,-22.87506108965108,-22.80799171146876,-22.541359492811097,-62.849024367054234,-1.3018240936431524,-1.1900687846741542,-0.9248377935026709,-2.278125921295367,-1.1059234724126066,-1.9910331205536687,-1.3018240936431524,-4.393032499472192
2014-08,18.528219445454265,18.494862578239886,18.45839193938686,18.467602559926814,18.513559091520225,18.539672584772767,37.02308202369415,18.494862578239886,-24.81990102874895,-22.54135949281141,-20.78765689739913,-20.486293359142508,-21.57507411051244,-22.87506108965102,-47.361260521559004,-22.54135949281141,-1.9208351188718202,-1.3018240936431529,-1.1900687846741544,-0.9248377935026705,-2.2781259212953664,-1.1059234724126066,-3.222659212514971,-1.3018240936431529
2014-09,18.51366852236181,18.528219445454273,18.49486257823989,18.45839193938686,18.467602559926814,18.513559091520225,55.53675054605598,37.02308202369416,-26.386466087614973,-24.81990102874916,-22.541359492811516,-20.787656897399053,-20.4862933591425,-21.575074110512357,-73.74772660917445,-47.36126052156042,-2.653864650351124,-1.920835118871821,-1.3018240936431529,-1.1900687846741544,-0.9248377935026701,-2.2781259212953664,-5.876523862866099,-3.2226592125149747
2014-10,18.518287307944654,18.51366852236181,18.528219445454283,18.494862578239896,18.45839193938686,18.467602559926814,18.518287307944654,55.53675054605598,-26.39117588848792,-26.386466087615062,-24.819901028749264,-22.54135949281151,-20.78765689739908,-20.486293359142465,-26.39117588848792,-73.74772660917603,-2.719778455512302,-2.653864650351125,-1.9208351188718213,-1.301824093643153,-1.1900687846741544,-0.9248377935026701,-2.719778455512302,-5.876523862866101
2014-11,18.448709074371603,18.518287307944647,18.51366852236181,18.52821944545428,18.494862578239893,18.45839193938686,36.96699638231625,18.518287307944647,-24.78018184447435,-26.391175888487815,-26.386466087615123,-24.81990102874909,-22.541359492811434,-20.787656897399124,-51.171357732961354,-26.391175888487815,-3.0367887692854696,-2.719778455512302,-2.6538646503511245,-1.9208351188718211,-1.301824093643153,-1.1900687846741544,-5.756567224797772,-2.719778455512302
2014-12,18.152049939077674,18.44870907437161,18.51828730794465,18.51366852236181,18.52821944545428,18.494862578239893,55.119046321393924,36.96699638231626,-22.28773261027924,-24.78018184447445,-26.391175888488092,-26.386466087615187,-24.819901028748998,-22.54135949281144,-73.45909034324197,-51.171357732962534,-2.899768335736016,-3.0367887692854674,-2.7197784555123015,-2.6538646503511245,-1.920835118871821,-1.3018240936431529,-8.656335560533785,-5.756567224797769
2015-01,15.782358342625697,18.152049939077678,18.448709074371614,18.518287307944647,18.51366852236181,18.52821944545428,15.782358342625697,55.11904632139394,-19.8743010167045,-22.287732610279438,-24.780181844474306,-26.391175888488167,-26.386466087615133,-24.819901028748998,-19.8743010167045,-73.45909034324201,-4.050561866599086,-2.899768335736017,-3.0367887692854683,-2.7197784555123015,-2.6538646503511245,-1.920835118871821,-4.050561866599086,-8.656335560533787
2015-02,13.253518916303864,15.782358342625686,18.152049939077674,18.448709074371614,18.518287307944647,18.513668522361808,29.03587725892955,15.782358342625686,-17.782330069238185,-19.874301016704205,-22.287732610279566,-24.780181844474328,-26.391175888488128,-26.386466087615084,-37.65663108594441,-19.874301016704205,-2.4154579313883398,-4.050561866599082,-2.899768335736017,-3.0367887692854683,-2.7197784555123015,-2.6538646503511245,-6.466019797987426,-4.050561866599082
2015-03,10.459304590811511,13.253518916303863,15.782358342625683,18.152049939077674,18.448709074371614,18.518287307944647,39.49518184974106,29.035877258929542,-15.024056837444737,-17.78233006924022,-19.874301016704223,-22.287732610279622,-24.78018184447429,-26.391175888488103,-52.680687923389996,-37.65663108594427,-2.141060425793511,-2.415457931388347,-4.050561866599082,-2.899768335736017,-3.0367887692854683,-2.7197784555123015,-8.607080223780939,-6.466019797987429
2015-04,9.476706250065975,10.459304590811504,13.253518916303866,15.782358342625681,18.152049939077674,18.448709074371614,9.476706250065975,39.49518184974105,-10.10935916795661,-15.024056837444881,-17.782330069240597,-19.874301016704184,-22.287732610279612,-24.780181844474296,-10.10935916795661,-52.68068792338966,-1.735810645336834,-2.1410604257935137,-2.4154579313883473,-4.050561866599082,-2.899768335736017,-3.0367887692854683,-1.735810645336834,-8.60708022378094
2015-05,7.989643697227882,9.476706250065973,10.459304590811504,13.253518916303864,15.782358342625683,18.152049939077674,17.466349947293853,9.476706250065973,-2.6133729608206266,-10.109359167956516,-15.02405683744471,-17.782330069240594,-19.874301016704216,-22.287732610279665,-12.722732128778482,-10.109359167956516,-2.0866943737482044,-1.735810645336834,-2.1410604257935133,-2.4154579313883473,-4.050561866599082,-2.899768335736017,-3.8225050190850376,-1.735810645336834
2015-06,1.3816125649011477,7.989643697227823,9.476706250066002,10.459304590811506,13.253518916303873,15.782358342625688,18.84796251219499,17.466349947293825,5.998938206345342,-2.613372960820861,-10.109359167956715,-15.024056837445002,-17.78233006924096,-19.87430101670431,-6.723793922431653,-12.72273212877619,-0.9407574162441411,-2.0866943737482013,-1.7358106453368305,-2.1410604257935137,-2.415457931388348,-4.050561866599082,-4.763262435329171,-3.8225050190850336
2015-07,-0.22488463147344526,1.3816125649011006,7.989643697227835,9.476706250066018,10.459304590811513,13.25351891630388,-0.22488463147344526,18.84796251219496,13.359762882978293,5.99893820634451,-2.613372960821075,-10.10935916795758,-15.024056837445357,-17.78233006924131,13.359762882978293,-6.723793922434136,-0.17973089136518794,-0.9407574162441451,-2.086694373748203,-1.7358106453368325,-2.141060425793515,-2.415457931388349,-0.17973089136518794,-4.763262435329181
2015-08,-1.7467270062668914,-0.2248846314734423,1.3816125649011037,7.989643697227835,9.476706250066018,10.459304590811513,-1.97161163774033,-0.2248846314734423,18.05181665070585,13.359762882978236,5.998938206344507,-2.613372960821069,-10.10935916795758,-15.024056837445357,31.411579533684176,13.359762882978236,0.62580470292664,-0.17973089136518733,-0.9407574162441452,-2.086694373748203,-1.7358106453368325,-2.141060425793515,0.4460738115614521,-0.17973089136518733
2015-09,-2.117873320083085,-1.7467270062668938,-0.22488463147344395,1.3816125649011062,7.989643697227835,9.476706250066018,-4.08948495782342,-1.9716116377403352,20.35091444955277,18.051816650705476,13.359762882978295,5.998938206344439,-2.6133729608210374,-10.109359167957571,51.76249398323646,31.411579533683703,-0.04760913660947108,0.6258047029266411,-0.1797308913651876,-0.9407574162441452,-2.086694373748203,-1.7358106453368325,0.39846467495198223,0.4460738115614538
2015-10,-3.055099410602875,-2.117873320083084,-1.746727006266897,-0.22488463147344206,1.3816125649011055,7.989643697227835,-3.055099410602875,-4.0894849578234265,21.337606380388326,20.350914449552754,18.051816650705607,13.359762882978364,5.9989382063444685,-2.6133729608210228,21.337606380388326,51.76249398323655,-0.5802358886070558,-0.04760913660947022,0.6258047029266413,-0.17973089136518752,-0.9407574162441452,-2.086694373748203,-0.5802358886070558,0.3984646749519831
2015-11,-3.1740868267886926,-3.055099410602872,-2.1178733200830804,-1.7467270062668956,-0.22488463147344195,1.3816125649011048,-6.229186237391567,-3.055099410602872,21.710922485488215,21.337606380388113,20.350914449552562,18.051816650705522,13.359762882978432,5.998938206344472,43.04852886587688,21.337606380388113,-0.1478411592914617,-0.5802358886070551,-0.04760913660947071,0.6258047029266411,-0.17973089136518747,-0.9407574162441452,-0.7280770478985199,-0.5802358886070551
