qn_iter,eval_count,loglike,best_loglike,improvement,best_improvement,relative_loglike_change,aitken_loglike_limit,aitken_relative_gap,small_change_streak,max_ar_spectral_radius,min_h,max_h
1,57,-214.33401880250668,-214.33401848428682,0.04019111076132731,0.04019142898118844,0.00018748109102110705,,,0,0.9820117200807924,0.005,0.9997133679454534
2,76,-214.2691489332533,-214.26914873882907,0.10506098001471287,0.10506117443893004,0.000302657831061146,,,0,0.9830185206865061,0.005,0.9997133679454534
3,95,-214.1412497267206,-214.14124963303456,0.23296018654741601,0.23296028023344206,0.0005969091078648232,-214.40078294946736,0.0012119721122295446,0,0.9873262433782599,0.005,0.9997133679454534
4,114,-214.01099068702942,-214.01099061931404,0.36321922623858427,0.3632192939539607,0.0006082856052133822,-221.20108264772605,0.033596835085967405,0,0.9897272179445763,0.005,0.9997133679454534
5,133,-213.74444280472682,-213.74444273683423,0.6297671085411878,0.6297671764337736,0.0012454868857291739,-214.26574573898506,0.0024389075449998843,0,0.9865248299546999,0.005,0.9997133679454534
6,152,-213.70567194776726,-213.70567166206433,0.6685379655007466,0.668538251203671,0.00018138884197789048,-213.6990726019943,3.088053636022314e-05,0,1.0187893033774558,0.005,0.9997133679454534
7,171,-213.41713047817038,-213.41713032738343,0.9570794350976257,0.9570795858845713,0.0013501816164589342,-213.75046104415662,0.0015618735255197322,0,0.9828761855608013,0.005,0.9997133679454534
8,190,-213.28334847463677,-213.28334826711352,1.0908614386312365,1.0908616461544796,0.0006268569127223592,-213.16770046340525,0.0005422270986394718,0,0.9814802077881828,0.005,0.9997133679454534
9,209,-213.0177793152802,-213.01777897689053,1.35643059798781,1.3564309363774782,0.0012451471774795133,-213.55293752520544,0.0025122701571927172,0,0.9810330295968366,0.005,0.9997133679454534
10,228,-212.69035678712112,-212.69035640553793,1.6838531261468859,1.6838535077300776,0.0015370666674468952,-214.42357704693248,0.008149030759989358,0,0.9854994997634089,0.005,0.9997133679454534
11,247,-212.09810388254346,-212.09810356320634,2.2761060307245486,2.276106350061667,0.0027845780764308025,-213.42258753024353,0.006244674626764015,0,0.9950930404239102,0.005,0.9997133679454534
12,266,-210.94252870619346,-210.94252847463463,3.431681207074547,3.431681438633376,0.005448305077682059,-213.31302611968115,0.011237645760800524,0,1.0085040797046765,0.005,0.9997133679454534
13,285,-209.64454005672127,-209.6445392265588,4.729669856546735,4.729670686709198,0.00615328097863121,-221.4747025913651,0.0564296238358655,0,1.0259279630612521,0.005,0.9997133679454534
14,304,-208.4207628456228,-208.42076259880588,5.9534470676452145,5.9534473144621245,0.0058373912851122905,-188.24017215470658,0.09682620107222217,0,1.0198486976556178,0.005,0.9997133679454534
15,323,-207.05862889976567,-207.05862880437553,7.315581013502339,7.315581108892474,0.006535500241240631,-220.46895467604932,0.06476583877494628,0,1.011996144008774,0.005,0.9997133679454534
