iteration,loglike,relative_loglike_change,min_h,max_h,filter_seconds,smoother_seconds,m_step_seconds,iteration_seconds
1,-702.4704993007871,,0.09121129294161251,0.8741726974872107,0.018383200018433854,0.016952100006164983,0.04104240000015125,0.07646989999921061
2,-357.9134364228671,0.490493285085821,0.07631921004261229,0.8611913146139543,0.024548299988964573,0.026189099997282028,0.0382687000092119,0.08911120000993833
3,-300.3972891550385,0.1606984857642352,0.06553936267256825,0.8672589244330011,0.021564399998169392,0.02237659998354502,0.03899840000667609,0.0830308000149671
4,-272.06587888081935,0.09431313562752217,0.05693169893354025,0.8733456410159677,0.01941189999342896,0.019607099995482713,0.0424283999891486,0.08154389998526312
5,-250.8911758827771,0.07782932238745749,0.04877076170592709,0.8796033199621861,0.019363400002475828,0.02321700000902638,0.04204969998681918,0.08471770002506673
6,-233.79430440359556,0.06814457072483748,0.04158916315543613,0.8875682927537283,0.020614700013538823,0.018870200001401827,0.03946560001350008,0.07907590002287179
7,-221.47512428903534,0.05269238763530275,0.03637614251237452,0.8972855081954153,0.020477899990510195,0.01934219998656772,0.03728340001543984,0.07730949998949654
8,-211.5471371170963,0.044826646802024375,0.03263205988986971,0.9081173409211449,0.019217599998228252,0.017206199991051108,0.03678710001986474,0.07331900001736358
9,-202.40404049984556,0.043220138744727216,0.030051463930946397,0.9196983615423266,0.018055199994705617,0.015731199993751943,0.03539730000193231,0.06927080001332797
10,-194.26569412389833,0.04020841854663196,0.028417754535465977,0.9300364948833245,0.018656100000953302,0.017353600007481873,0.039964099996723235,0.07606949997716583
11,-185.7599727400682,0.0437839600151191,0.026865113881502232,0.937194655519405,0.01979260001098737,0.016886800003703684,0.038134500005980954,0.07490040000993758
12,-178.63568132434122,0.03835213426573832,0.024730387916399855,0.9412923617469836,0.017194599990034476,0.016164900007424876,0.03736720001325011,0.07080869999481365
13,-173.8990325327449,0.026515692478011586,0.022867070273556316,0.943230838381726,0.020796099997824058,0.02158979998785071,0.047219700005371124,0.08969220001017675
14,-169.93634062876043,0.02278731426086749,0.021230828727858253,0.9438029526021495,0.019500499998684973,0.01756599999498576,0.03455440001562238,0.07170800000312738
15,-165.5517168192249,0.02580156659436423,0.019785431065830937,0.943572111424748,0.028152599988970906,0.020039499999256805,0.055181700008688495,0.10348059999523684
16,-161.21839606365052,0.02617502759156635,0.0185014307116732,0.9428922230237815,0.019950200017774478,0.019671900023240596,0.0375452000007499,0.07726479999837466
17,-157.36424087764644,0.02390642308885409,0.017354938419622372,0.9420144867841793,0.02543639999930747,0.023599399981321767,0.04019270002027042,0.08933829999295995
18,-154.01556393490662,0.021279783285349255,0.01632648576802596,0.9411030644873369,0.021297100000083447,0.016247599996859208,0.039341600000625476,0.07697389999520965
19,-151.06618577894258,0.019149870835200596,0.015400012627392911,0.9402460531044364,0.02235909999581054,0.021029299998190254,0.04796830000123009,0.09149630001047626
20,-148.42021315188873,0.01751532027773404,0.01456211123400511,0.9394824978001962,0.024111200007610023,0.025372800009790808,0.04126860000542365,0.09085360000608489
21,-146.0170391624349,0.016191689382594295,0.013801495134773639,0.9388261149438067,0.020354600012069568,0.02258990000700578,0.042683000006945804,0.08572420000564307
22,-143.82073469038502,0.015041425881856403,0.013108610068512485,0.9382793171814782,0.023224700009450316,0.025265500007662922,0.04614709998713806,0.09472520000417717
23,-141.80883192364246,0.013988961821629946,0.01247533165907557,0.9378400829170037,0.027228299994021654,0.02346140000736341,0.03339859997504391,0.08417270000791177
24,-139.96708547384193,0.012987529936021336,0.011894722390397261,0.9375050483717786,0.016555899986997247,0.023591300006955862,0.04498119998606853,0.08527549999416806
25,-138.2886012061659,0.011991992703096713,0.011360833652042922,0.9372708360125152,0.02513840000028722,0.015727599995443597,0.0333567000052426,0.07430760000715964
26,-136.7749463885771,0.010945622447451045,0.010868543844234357,0.9371345305099206,0.01749760002712719,0.01762389999930747,0.041620600008172914,0.07682369998656213
27,-135.43691874746315,0.009782695416400368,0.010413425708134496,0.937093655834903,0.020636899978853762,0.018461400002706796,0.03884659998584539,0.0780564000015147
28,-134.29207630643128,0.008452956930942532,0.009991637279208003,0.9371458083443883,0.018302499986020848,0.018741700012469664,0.03915019999840297,0.0762842999829445
29,-133.35612858327772,0.006969493278351657,0.009599831796814276,0.9372881042061021,0.02055149999796413,0.02206680001108907,0.03729520001797937,0.0799985000048764
30,-132.62865256873036,0.0054551374749385595,0.009235082768252413,0.9375166708654097,0.01966390002053231,0.023319999978411943,0.039091200014809147,0.08216390002053231
