,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6
macro,3.7808141229900123,-6.90651617511971,7.905311159815942,-5.9619364361215705,2.840293828277039,-0.6713147006474887
real,2.360980708051786,-2.731614580509092,2.6109650794737767,-2.3665792051351255,1.5932966981321173,-0.5206052493886264
nominal,1.4865889497820801,0.6733682405360362,-2.4662817233236343,0.8526859748835387,1.2694137667926306,-0.8821346700061494
