,h
GDP同比,0.04330353764444066
制造业PMI_去季节性,0.7845174420520319
服务业PMI,0.6090809054864963
工业增加值,0.689814896754273
用电量,0.9132956638980888
社零,0.0606026673822175
固投当月同比_去季节性,0.9226590274997285
CPI,0.005
PPI,0.8035312668009723
失业率差分,0.9129023595583485
逆回购7天(19日),0.00636069866231753
银行间7天回购(20-19均值),0.42466739540329246
