,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6
macro,1.0829857719774785,0.03439470882892556,-0.052332885507528196,0.03778299304485526,-0.08286811022351942,-0.059272762813052056
real,3.743262098796378,-6.7969211840716355,7.657949905849492,-5.643903617033992,2.63400261055554,-0.6191464874568587
nominal,1.0225696446415342,-0.11514601800704875,-0.0962152311300819,0.20112059080699604,-0.1549944913560801,0.028701984024532674
