,h
GDP同比,0.030191001645968878
制造业PMI_去季节性,0.4245954118441244
服务业PMI,0.49664837989359495
工业增加值,0.36149682349721124
社零,0.19882722204128497
固投累计同比_去季节性,0.5572529808850373
CPI,0.021120141264800007
PPI,0.3150245266144228
逆回购7天(19日),0.9973465675226316
银行间7天回购(20-19均值),0.2729037211085623
