,macro,real,nominal
GDP同比,0.008268047488963,-0.0068437710306018,0.0
制造业PMI_去季节性,0.0136490025615656,-0.0187059692338116,0.0
服务业PMI,0.0200267313812137,0.0772990454616084,0.0
工业增加值,0.0211415591233158,-0.0149034760365711,0.0
社零,0.0274586994855021,0.0157223953152204,0.0
固投累计同比_去季节性,0.0216761967557791,-0.0064513334271342,0.0
CPI,0.0535630025707619,0.0,0.0265787007820409
PPI,0.0418412901177379,0.0,0.0111791511582429
逆回购7天(19日),-7.46373818927838e-05,0.0,0.0010688939924392
银行间7天回购(20-19均值),0.0213915946360479,0.0,0.0254824018884087
