,h
GDP同比,0.04348483846272904
制造业PMI_去季节性,0.13578025887566011
服务业PMI,0.7392556547831836
工业增加值,0.6784893207549058
用电量,0.8319012713666053
社零,0.01422642749273835
固投当月同比_去季节性,0.7250071444531292
CPI,0.09082774069780863
PPI,0.8778790289406486
失业率差分_去季节性,0.9075936439570822
逆回购7天(19日),0.5924129703655638
银行间7天回购(20-19均值),0.5678422936000751
