,macro,real,nominal
GDP同比,0.1612784534157955,-0.011135522343613523,0.0
制造业PMI_去季节性,0.13622720869936195,0.05639955502244335,0.0
服务业PMI,0.18554183480997352,0.019861780280248056,0.0
工业增加值,0.32271221513337456,-0.007663892562470471,0.0
用电量,0.14790708476654418,0.02005714465157642,0.0
社零_去季节性,0.48071648051453986,-0.04220456084481474,0.0
CPI,0.07238929606885183,0.0,0.49304662646624287
PPI,0.2152194793097855,0.0,0.09827194357385344
失业率差分,-0.012321356221186741,-0.025809849390403206,0.0
逆回购7天(19日),0.25744612334502154,0.0,0.051102731007276796
银行间7天回购(20-19均值),0.2824152647626638,0.0,-0.004835163142995862
