,macro,real,nominal
GDP同比,0.08047984962205051,0.021285989522670336,0.0
制造业PMI一阶差分_去季节性,0.035250997107623444,0.00766846560172741,0.0
服务业PMI,0.13370064635524823,0.030632246437189502,0.0
工业增加值,0.05964031519489496,0.018381980485229606,0.0
用电量,0.016557004009608297,0.02263951470599437,0.0
社零,0.21749795590942908,0.06293247843378083,0.0
固投当月同比_去季节性,0.03859298062215301,-0.005567640129371389,0.0
CPI,0.17056404439074996,0.0,-0.06782596688909719
PPI,-0.020076944426464193,0.0,0.032630151527518934
失业率差分_去季节性,-0.02160663300137608,-0.01639444445597441,0.0
逆回购7天(19日),0.4463233748689136,0.0,-0.11268362081502983
银行间7天回购(20-19均值),0.28982976638883584,0.0,-0.018938216981700652
