,macro,real,nominal
GDP同比,0.041366686328216364,0.015726776642088065,0.0
制造业PMI,0.041679265114609974,0.019764550299272893,0.0
服务业PMI,0.05250541910917672,0.026047619696403033,0.0
工业增加值,0.060170379432246006,0.017272498187653293,0.0
用电量,-0.007023162924134442,0.01840756684562785,0.0
社零,0.11210998041600287,0.0462257125942262,0.0
固投当月同比_去季节性,0.03304478658148998,0.00038557451845771856,0.0
CPI,0.0651611929025354,0.0,0.5004523042644937
PPI,-0.03111126632893473,0.0,-0.00850776773217264
失业率差分_去季节性,0.017362163005965117,-0.01419265574310413,0.0
逆回购7天(19日),0.13510660524079107,0.0,0.009017116681821733
银行间7天回购(20-19均值),0.09516321899517363,0.0,-0.04908817072619318
