qn_iter,eval_count,loglike,best_loglike,improvement,best_improvement,relative_loglike_change,aitken_loglike_limit,aitken_relative_gap,small_change_streak,max_ar_spectral_radius,min_h,max_h
1,95,59.00186867084218,59.00186876709048,0.004768757657039657,0.004768853905339654,8.083037410409893e-05,,,0,0.9830558594838272,0.011952485675711126,0.8244224581932076
2,114,59.002643826974314,59.00264421207472,0.005543913789175292,0.005544298889581967,1.3137823421492837e-05,,,0,0.9830558602271401,0.011952485675711126,0.8244224581932076
3,133,59.00612570999581,59.00612759513528,0.009025796810668396,0.009027681950144029,5.901232208685007e-05,59.00164668057358,7.590787173931245e-05,0,0.9830558659887838,0.011952485675711126,0.8244224581932076
4,152,59.00876186757722,59.00876409905507,0.011661954392081952,0.011664185869932453,4.4675998461071365e-05,59.01697886858572,0.00013925052396348325,0,0.9830558706717671,0.011952485675711126,0.8244224581932076
5,171,59.02434532054551,59.024349591652616,0.02724540736036829,0.027249678467477167,0.00026408710291630057,59.00558897034583,0.0003177731171402704,0,0.9830558917249331,0.011952485675711126,0.8244224581932076
6,190,59.047925016781186,59.04793077357976,0.05082510359604697,0.05083086039461904,0.0003994910254001739,58.97839210539089,0.0011775673975086538,0,0.983055886585721,0.011952485675711126,0.8244224581932076
7,209,59.0745554247518,59.074560876036976,0.07745551156666153,0.07746096285183768,0.0004509965077188792,58.842092088226075,0.003935083977429734,0,0.9830555473693745,0.011952485675711126,0.8244224581932076
8,228,59.08329516707292,59.083295425591366,0.08619525388778015,0.08619551240622769,0.0001479442758101018,59.08756460552401,7.226134627421506e-05,0,0.9830542782596644,0.011952485675711126,0.8244224581932076
9,247,59.08855768234899,59.088557934904514,0.09145776916385273,0.09145802171937589,8.906942751231947e-05,59.09652209383899,0.00013478771190889534,0,0.9830542851363976,0.011952485675711126,0.8244224581932076
10,266,59.08969359802843,59.08969395938011,0.092593684843294,0.09259404619496792,1.9223953401397552e-05,59.09000627785127,5.29161354208157e-06,0,0.9830540478254057,0.011952485675711126,0.8244224581932076
