,macro,real,nominal
GDP同比,0.026814575434769325,-0.02731579665818796,0.0
制造业PMI_去季节性,0.1760214411678068,0.0364843563831921,0.0
服务业PMI,0.06622086705488764,-0.028684334361128397,0.0
工业增加值,0.06540328873056687,-0.06742572196610416,0.0
用电量,0.08977790780103699,-0.02616134329789937,0.0
社零,0.0014080684169403164,-0.13301857001720432,0.0
固投当月同比_去季节性,-0.0028647455861486072,-0.06858591231389902,0.0
CPI,-6.767771164200808e-05,0.0,0.4454475035230213
PPI,0.03770176456067498,0.0,0.2583248930852403
逆回购7天(19日),0.04498845399215991,0.0,0.06438560668415265
银行间7天回购(20-19均值)_去季节性,-0.0445048240800328,0.0,0.24304169440149187
