,h
GDP同比,0.014254098978733637
制造业PMI_去季节性,0.43188514691885416
服务业PMI,0.7111568769981751
工业增加值,0.31615274823883033
社零,0.6798880006641286
固投累计同比_去季节性,0.005
CPI,0.006621286740244357
PPI,0.25415063612647065
逆回购7天(19日),0.8482202409231667
银行间7天回购(20-19均值),0.5616027589959974
