,rho_1,rho_2,rho_3,rho_4,rho_5,rho_6
macro,2.5237053779420036,-3.307840844703412,3.4463655589555127,-2.644089618789045,1.3414299516159496,-0.3776870439417637
real,4.7756930459601925,-10.446795266587705,13.307780858408465,-10.374045342851133,4.698417707688368,-0.9697550682499488
nominal,1.088838085585764,-0.17931947774615858,-0.12738650903178972,0.24541613829267409,-0.13091002327925816,-0.009947155738435664
