,h
GDP同比,0.03240508312630338
制造业PMI_去季节性,0.31294806576919254
服务业PMI,0.486126688911292
工业增加值,0.3032092499594575
用电量,0.59482204124995
社零,0.11426229533590222
固投当月同比_去季节性,0.8244224581932076
CPI,0.011952485675711126
PPI,0.4743600407491224
逆回购7天(19日),0.6143312004340536
银行间7天回购(20-19均值),0.5660433937166182
