iteration,loglike,relative_loglike_change,min_h,max_h,filter_seconds,smoother_seconds,m_step_seconds,iteration_seconds
1,-3316.605646365767,,0.07427813348534898,0.9352118125122993,0.030546599999070168,0.016523800004506484,0.045706899982178584,0.09300320001784712
2,-515.1105282552376,0.84468743553528,0.06748984881728011,0.8998150505945905,0.050687799986917526,0.022945900011109188,0.06983920000493526,0.14359669998520985
3,-427.6117175709375,0.16986414737177405,0.06184587388542228,0.9120222082352311,0.041841300000669435,0.021275600010994822,0.048929099983070046,0.1121708000137005
4,-428.17667681901037,0.0013211968354892671,0.05706239026801174,0.9227134685105272,0.03539669999736361,0.023571900004753843,0.052580099989427254,0.11162049998529255
5,-419.5913512474406,0.02005089496081718,0.052859876514836986,0.9144343897718654,0.02348179998807609,0.014308999991044402,0.03737390000605956,0.07528459999593906
6,-403.11693698286854,0.0392629977133557,0.049115677224715375,0.8950743467870778,0.020288400002755225,0.017359199991915375,0.059729900007369,0.09745139998267405
7,-379.63902407632247,0.05824094884791164,0.04577096911244779,0.8718060334953784,0.02682719999575056,0.027612400008365512,0.03749319998314604,0.09200500001315959
8,-354.50142369461713,0.06621447951212646,0.042767594198092146,0.8515238859570786,0.01528419999522157,0.01251070000580512,0.0374489999958314,0.0653943000070285
9,-337.737631468961,0.047288363614858636,0.04005721897554435,0.8499169942356997,0.031358999985968694,0.02503790002083406,0.05260270001599565,0.10912040001130663
10,-328.36292180042085,0.027757373757154816,0.03760384240396806,0.8484351837709705,0.024456000013742596,0.02089519999572076,0.05643920000875369,0.10187549999682233
11,-323.3162447107402,0.015369205091761333,0.03537308226809328,0.8464948673876732,0.023107399989385158,0.025417800003197044,0.037212600000202656,0.08579809998627752
12,-323.6570034421412,0.0010539486863887378,0.03333428856137598,0.8522665028718076,0.016178299993043765,0.01005109999096021,0.02359739999519661,0.04993320000357926
13,-329.3917567547496,0.01771861338274295,0.031466327390095646,0.8645850022223901,0.01412999999593012,0.01930949999950826,0.053070300025865436,0.08662349998485297
14,-337.4425818915305,0.024441489417038317,0.029746565534501404,0.8712218136932031,0.026472300000023097,0.011675500019919127,0.04035150000709109,0.07858690002467483
15,-349.9911208134371,0.037187182635830644,0.028156497276763462,0.87304052729216,0.026881099998718128,0.017956499999854714,0.04141279999748804,0.0863291000132449
16,-354.75913960847794,0.013623256452789995,0.026681119675397415,0.8723554787949822,0.029864000011002645,0.02563479999662377,0.05722389998845756,0.11280029997578822
17,-345.3656497063124,0.026478500067771176,0.02531450083363692,0.8706835974498571,0.031148599984589964,0.02361659999587573,0.050659800006542355,0.10555089998524636
18,-333.96238674682,0.033017941909362886,0.02405472831258,0.8697405146995724,0.026319899974623695,0.01768140000058338,0.06514380002045073,0.10925559999304824
19,-323.471743881186,0.031412647896743744,0.022896900794842412,0.8698710785300018,0.03298400001949631,0.022313399997074157,0.06788409998989664,0.12330100001418032
20,-313.8719608948,0.02967734637716019,0.021833178038199834,0.8708680354847883,0.02114709999295883,0.01897659999667667,0.05517460001283325,0.09541430001263507
21,-304.62207928882026,0.029470238690992877,0.0208544239809024,0.8725128688907927,0.03578999999444932,0.02337520002038218,0.050728000001981854,0.10996940001496114
22,-295.20862033829326,0.030902090132481342,0.019951479902018524,0.8747160080921903,0.0364277999906335,0.030729299993254244,0.07108569997944869,0.13834599999245256
23,-285.16349562248666,0.03402720660492712,0.01911584314462501,0.8774850720007423,0.033705800015013665,0.025317000021459535,0.06673080002656206,0.12586980001651682
24,-274.09124966705843,0.03882771155984919,0.018340159349221504,0.8808235289491723,0.044650499999988824,0.040832300001056865,0.06792489998042583,0.15350350001244806
25,-261.9584851774036,0.044265420747260795,0.01761899359362108,0.8845775763406535,0.03483150000101887,0.042726000014226884,0.06816759999492206,0.14587989999563433
26,-249.5917581560847,0.047208728562252514,0.016949960955305262,0.8883269393183911,0.05302829999709502,0.047930800006724894,0.07360390000394545,0.17468100000405684
27,-238.40151696762928,0.044834177502998666,0.016333952561599762,0.8915387368610693,0.03718959999969229,0.034189000027254224,0.07476780001888983,0.1462320999999065
28,-229.0988296934592,0.03902109094143562,0.015773135991551966,0.8939358950047157,0.036294299992732704,0.026782600005390123,0.06866350001655519,0.13187230000039563
29,-221.62863037249687,0.032606885556585676,0.015268660016870394,0.8956067108441301,0.03322330000810325,0.018985900009283796,0.043327200022758916,0.09561610000673681
