variant,variant_label,series_role,series_col,n_obs,mean,std,min,p10,p25,p50,p75,p90,max,mean_abs,p50_abs,p75_abs,p90_abs
vs_past2_actual_mean,相较前两期真实GDP均值,pred,pred_change_vs_past2,120,0.016204049451941375,2.346366464215694,-8.08621650553501,-1.5540166036178622,-0.5549526478472195,-0.1409043070802931,0.22627505187501962,2.343182135330282,7.46427995068574,1.3282214171774285,0.4551989717118916,1.464571590069197,4.627105701684603
vs_past2_actual_mean,相较前两期真实GDP均值,actual,actual_change_vs_past2,120,-0.10624999999999994,3.617415638734557,-12.75,-2.454999999999999,-0.4125000000000003,-0.15000000000000036,0.2124999999999997,2.470000000000001,13.2,1.7637499999999997,0.40000000000000036,1.475,4.810000000000017
vs_lag1_actual,相较上一期真实GDP,pred,pred_change_vs_lag1_actual,120,0.04995404945194147,2.3421612817607294,-11.770825934878749,-0.8323524892315578,-0.40924292989394073,-0.06872339539641192,0.2801627648109737,2.6571733611887622,6.082317442201504,1.2025546552247588,0.3938754982644279,1.4687841393023007,3.727858017705779
vs_lag1_actual,相较上一期真实GDP,actual,actual_change_vs_lag1_actual,120,-0.07249999999999991,3.8308996354390077,-12.7,-1.6099999999999997,-0.3000000000000007,-0.09999999999999964,0.15000000000000036,1.710000000000001,12.399999999999999,1.7725000000000002,0.2999999999999998,1.6249999999999998,4.600000000000051
