month,nowcasting_GDP
2015-01,7.294065051196075
2015-02,6.96905349294285
2015-03,6.673427731305246
2015-04,6.656034975313303
2015-05,6.763439386742509
2015-06,6.8857679231843365
2015-07,7.373840289287047
2015-08,7.2575301873509055
2015-09,7.176291180709336
2015-10,7.028306117725015
2015-11,6.962228715867143
2015-12,6.937178667165453
2016-01,6.863958165865039
2016-02,6.799936131142248
2016-03,6.623568561136015
2016-04,6.047607142323775
2016-05,6.523631374978933
2016-06,6.392239111188106
2016-07,6.557337334339792
2016-08,6.609225234868523
2016-09,6.535163921197205
2016-10,6.891809424742251
2016-11,6.953418922127206
2016-12,6.802524296424317
2017-01,7.781814369468358
2017-02,7.434110352276452
2017-03,8.262530030176528
2017-04,7.663101991199442
2017-05,7.450485677532766
2017-06,7.528598394289165
2017-07,7.735660166522655
2017-08,7.907278348344185
2017-09,7.731624731384462
2017-10,7.488252294484408
2017-11,7.500189873927388
2017-12,7.47417620850286
2018-01,7.070119188509911
2018-02,7.821361726344018
2018-03,6.834327126393379
2018-04,6.539825660798423
2018-05,6.865685307360057
2018-06,7.2309345852803055
2018-07,7.26689612481027
2018-08,7.137685704764942
2018-09,7.130117088160199
2018-10,6.9619590468283175
2018-11,6.817080035671094
2018-12,6.72809444627802
2019-01,6.611422579696406
2019-02,6.481942512736662
2019-03,6.238434732655623
2019-04,6.336507604256552
2019-05,6.264792111643901
2019-06,6.143926191676036
2019-07,6.124490296653294
2019-08,6.015555152189244
2019-09,5.834593667357407
2019-10,6.083950421923765
2019-11,5.744211073415309
2019-12,5.519536609032224
2020-01,6.092146234851994
2020-02,5.82125251311041
2020-03,0.6105433193910708
2020-04,-0.5431372409184343
2020-05,1.6234441573422655
2020-06,3.1000874940482674
2020-07,2.539696525972995
2020-08,3.81063144842621
2020-09,4.678199510131675
2020-10,6.9604158404864105
2020-11,7.082290313023631
2020-12,6.570713583460666
2021-01,5.577522564376972
2021-02,6.988982780078072
2021-03,12.554921671312531
2021-04,11.28854655338059
2021-05,7.091970528744815
2021-06,7.777572543857455
2021-07,8.37181970466847
2021-08,7.265050675634781
2021-09,5.40077599987375
2021-10,5.882594200263648
2021-11,5.774390867902029
2021-12,5.193298922930092
2022-01,6.291014723699392
2022-02,6.133381982081601
2022-03,6.662196915781425
2022-04,4.471186508139838
2022-05,5.014684224493741
2022-06,5.693593094997508
2022-07,6.362421501396078
2022-08,5.504113474832577
2022-09,5.621699721975936
2022-10,6.0957401837163765
2022-11,6.111364774823106
2022-12,5.527209601774422
2023-01,4.485908758072622
2023-02,4.186786635024519
2023-03,5.088562166950232
2023-04,6.931320748216756
2023-05,7.479091324825486
2023-06,7.190333192009706
2023-07,3.972691381060266
2023-08,4.469429871666897
2023-09,5.146180820154954
2023-10,7.199001124990457
2023-11,6.603745476523597
2023-12,6.462240374373172
2024-01,4.667411688899623
2024-02,4.937882010031032
2024-03,4.642569373168686
2024-04,5.602149522391907
2024-05,5.188360000103027
2024-06,4.894181464249492
2024-07,4.670657010202503
2024-08,4.372591163155632
2024-09,4.213671940687505
2024-10,4.756234147173172
2024-11,4.763645929983629
2024-12,4.582732091669932
2025-01,4.564155337189538
2025-02,4.277584692176871
2025-03,4.658410853846175
2025-04,5.253957530715647
2025-05,4.896034525595509
2025-06,5.023790536278166
2025-07,4.75881603162304
2025-08,4.45119856178856
2025-09,4.37047482276928
2025-10,4.468592720513249
2025-11,4.295366388998637
2025-12,3.948627301718743
