month,nowcasting_GDP
2015-01,7.829980867695679
2015-02,7.740815377611628
2015-03,6.838114016501809
2015-04,6.998953551553386
2015-05,6.315929629416662
2015-06,6.13253504598136
2015-07,7.169428441858997
2015-08,6.700065345773348
2015-09,6.11116745356187
2015-10,7.074626645674801
2015-11,6.404225194412999
2015-12,5.933424780028378
2016-01,6.672180112004596
2016-02,6.860113490915211
2016-03,6.814461770522668
2016-04,5.333092157640098
2016-05,6.362044325991665
2016-06,6.62947434425466
2016-07,6.18105237357837
2016-08,6.303537687585929
2016-09,6.491213943975998
2016-10,6.345425715532431
2016-11,6.636891150138763
2016-12,6.528598227741595
2017-01,7.183721426290576
2017-02,7.015737548169952
2017-03,7.318748972442761
2017-04,7.421064866100833
2017-05,6.765583331083651
2017-06,7.144678545781279
2017-07,7.573509491099722
2017-08,7.166985722067559
2017-09,6.906878674467897
2017-10,7.555581567173791
2017-11,7.144241908014505
2017-12,7.059398684128015
2018-01,6.475056602275653
2018-02,7.070654195063196
2018-03,6.667192400348677
2018-04,6.114398255105746
2018-05,6.839418552420735
2018-06,7.311531460201548
2018-07,6.330288403894591
2018-08,6.6692133821332815
2018-09,6.970076813219411
2018-10,6.185423592786711
2018-11,6.4692666591888806
2018-12,6.574186206940335
2019-01,6.149439028404915
2019-02,6.199477651811906
2019-03,5.9085075275512935
2019-04,6.1449483442147965
2019-05,6.08064890260243
2019-06,5.964160420330879
2019-07,6.041730849841402
2019-08,5.832735211078795
2019-09,5.548372337661144
2019-10,5.598216821455816
2019-11,5.306629810992424
2019-12,4.858781966753277
2020-01,6.028061608142737
2020-02,5.791920407942386
2020-03,1.447769741628072
2020-04,-0.9599750188439052
2020-05,1.1739866838188808
2020-06,2.8234330722306487
2020-07,2.076368158757276
2020-08,2.927336130996469
2020-09,4.209033407144913
2020-10,6.774020670643967
2020-11,6.8269037884354296
2020-12,6.548079195027155
2021-01,6.491099539617643
2021-02,8.695839053450335
2021-03,10.820162660122438
2021-04,7.405728148749558
2021-05,5.635251581283694
2021-06,8.443211259584935
2021-07,9.067853999360253
2021-08,5.974034784322855
2021-09,5.914984296170744
2021-10,9.706776160029785
2021-11,6.911808714480892
2021-12,5.976302357991541
2022-01,3.5004269832030923
2022-02,3.4760652003904355
2022-03,5.927399254073352
2022-04,0.4166698648669191
2022-05,3.026923525837743
2022-06,3.349027979395108
2022-07,8.68312177177628
2022-08,4.9275210047354205
2022-09,5.55875515203932
2022-10,3.377422984149149
2022-11,3.8837941792244575
2022-12,3.3671589663190336
2023-01,3.925837629050308
2023-02,4.0449542924570085
2023-03,5.431358378764019
2023-04,5.341968052336999
2023-05,5.538257910463947
2023-06,5.718213054852134
2023-07,5.33336046420281
2023-08,5.76453619945879
2023-09,5.712814881586322
2023-10,7.435845471804686
2023-11,6.985963924456373
2023-12,6.369147980224812
2024-01,6.587506067679991
2024-02,7.39839240374493
2024-03,5.337677619520016
2024-04,7.249642473444524
2024-05,5.314375844714164
2024-06,5.119978236918322
2024-07,3.233749912019359
2024-08,4.093106261877845
2024-09,4.534731416830387
2024-10,7.012263069612493
2024-11,5.974373402255349
2024-12,5.107706175051991
2025-01,5.067331174897598
2025-02,4.61515454814313
2025-03,5.110834352175482
2025-04,5.448585048894583
2025-05,5.2592944244328805
2025-06,5.476180695105093
2025-07,5.074693559954816
2025-08,4.814547468851805
2025-09,4.817953751924386
2025-10,4.841302892679742
2025-11,4.614679738262737
2025-12,4.412000049395077
