month,nowcasting_GDP
2015-01,7.547790471147268
2015-02,7.381937853214264
2015-03,6.42555090379404
2015-04,6.610409572456376
2015-05,5.871880294446598
2015-06,5.649333362963528
2015-07,6.83524278204073
2015-08,6.324540411692739
2015-09,5.674320405924608
2015-10,6.716539123458661
2015-11,5.929645536811036
2015-12,5.443202845035123
2016-01,6.297781862464658
2016-02,6.500579452430145
2016-03,6.444249370080346
2016-04,4.816760377915279
2016-05,5.946147292565406
2016-06,6.217102631625519
2016-07,5.712331265075633
2016-08,5.844576223631536
2016-09,6.052248486010604
2016-10,5.90740069846883
2016-11,6.213435384991271
2016-12,6.094924277437515
2017-01,7.07079066193429
2017-02,6.892910618227472
2017-03,7.170678663983878
2017-04,7.2772732128446815
2017-05,6.700419547877276
2017-06,7.021493039267143
2017-07,7.422661340584222
2017-08,7.0523664386960485
2017-09,6.803966948468375
2017-10,7.361022255641766
2017-11,6.981397956462436
2017-12,6.899494522854567
2018-01,6.346633659108984
2018-02,6.95468521768543
2018-03,6.547137064613207
2018-04,5.989659250020769
2018-05,6.713288082785069
2018-06,7.186520278219056
2018-07,6.200750018494066
2018-08,6.541549187109381
2018-09,6.843684566847434
2018-10,6.056929535008242
2018-11,6.341448121962045
2018-12,6.446342084261288
2019-01,6.156830940585734
2019-02,6.208130089606197
2019-03,5.928037215028194
2019-04,6.17103416855738
2019-05,6.123886507397415
2019-06,5.98958922453221
2019-07,6.0255018555437285
2019-08,5.892112562637067
2019-09,5.595092303671425
2019-10,5.6734961732774485
2019-11,5.375495317818452
2019-12,5.017288967439852
2020-01,5.998570422354851
2020-02,5.758934911635773
2020-03,1.3160979572891192
2020-04,-1.1503412622905378
2020-05,1.041187223683619
2020-06,2.7252607409685137
2020-07,1.9580538481926053
2020-08,2.831301194916036
2020-09,4.137983313209743
2020-10,6.759316144174985
2020-11,6.816500790693418
2020-12,6.5284467853645545
2021-01,6.0400590442106274
2021-02,9.885060355260464
2021-03,13.613745509550624
2021-04,7.419945729354906
2021-05,4.186498684337656
2021-06,9.064567525814674
2021-07,10.284734667750325
2021-08,4.821131545558266
2021-09,4.641955686624176
2021-10,11.17260591353342
2021-11,6.441608815576824
2021-12,4.767782388892151
2022-01,3.229485314704635
2022-02,3.1998140038171883
2022-03,5.863556789444149
2022-04,-0.1107077361200525
2022-05,2.747240441589266
2022-06,3.0841621286071463
2022-07,8.864659632808735
2022-08,4.783541770122699
2022-09,5.473565216271324
2022-10,3.101045424880416
2022-11,3.6572686177550375
2022-12,3.111828217824927
2023-01,3.6891640430012607
2023-02,3.813756134195144
2023-03,5.3427987258191685
2023-04,5.2717569560808615
2023-05,5.464590067220168
2023-06,5.643420016587264
2023-07,5.187843630423696
2023-08,5.67676141673505
2023-09,5.627915667142165
2023-10,7.504707172094652
2023-11,7.022308975093318
2023-12,6.344862187138038
2024-01,6.757778232092582
2024-02,7.802991601949323
2024-03,5.149257445484841
2024-04,7.580962734486044
2024-05,5.103561731254891
2024-06,4.864036102046859
2024-07,2.45594941029857
2024-08,3.5640267887435284
2024-09,4.1262672718012805
2024-10,7.308207527332678
2024-11,5.961365339472554
2024-12,4.848896069163366
2025-01,5.008523989558023
2025-02,4.538808375389657
2025-03,5.067539507187323
2025-04,5.396440795585635
2025-05,5.199996878100031
2025-06,5.417196899785546
2025-07,4.991120479872785
2025-08,4.704513909505871
2025-09,4.694845462400342
2025-10,4.703046776920022
2025-11,4.430216666417902
2025-12,4.215914394713384
