month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2010-09,9.9,53.469334943854264,,13.3,8.58,18.84,-6.391955512892039,3.6,4.33,,3.7561,2.2158322580645167
2010-10,,54.59642512021278,,13.1,8.37,18.64,18.563932298055207,4.4,5.04,,3.7561,2.3645666666666667
2010-11,,54.727391721720686,,13.3,3.925325,18.7,22.999532841285532,5.1,6.06,,3.7561,1.8469
2010-12,9.9,53.80991109999553,,13.5,,19.1,0.04120020939384261,4.6,5.93,,3.7561,2.871903333333334
2011-01,,52.9,,13.3,,19.899985,,4.9,6.6,,3.7561,3.980861290322581
2011-02,,52.20640139233973,,14.9,15.82,11.633507,42.946312297496874,4.944,7.23,,3.7561,4.8585
2011-03,10.1,52.39053092139246,,14.8,13.41,17.437599,-11.89654051978238,5.383,7.31,,3.7561,2.840307142857143
2011-04,,52.80017946481761,,13.4,11.23,17.121601,25.829518917918236,5.344,6.82,,3.7561,2.416596774193549
2011-05,,51.98142894973621,,13.3,10.79,16.89981,-0.6114478449815977,5.515,6.79,,3.7561,3.330486666666667
2011-06,9.9,50.725046393461994,,15.1,13.0,17.686683,-27.564776105758483,6.355,7.12,,3.7561,4.534093548387098
2011-07,,50.49372759592806,,14.0,11.81,17.2,43.829639666941844,6.451,7.54,,3.7561,6.2365200000000005
2011-08,,50.765388570370256,,13.5,9.09,17.0,8.882328117352241,6.151,7.25,,3.7561,4.169164516129032
2011-09,9.3,50.86933494385427,,13.8,12.17,17.7,-2.251654385509582,6.067,6.52,,3.7561,4.122325806451612
2011-10,,50.296425120212774,,13.2,11.35,17.249736,29.019031576995065,5.495,5.0,,3.7561,4.249156666666666
2011-11,,48.52739172172068,,12.4,9.91,17.3,15.261699453493161,4.225,2.72,,3.7561,3.794603225806452
2011-12,8.7,50.20991109999553,,12.8,,18.1,-14.655393519405148,4.07,1.69,,3.7561,3.6592233333333337
2012-01,,50.5,,2.8,,13.1,,4.5,0.73,,3.7561,4.887661290322579
2012-02,,51.006401392339725,56.0,21.3,22.9,16.4,30.371711173556307,3.2,0.03,,3.7561,4.082503225806451
2012-03,8.1,52.090530921392464,56.410000000000004,10.415000000000008,7.01,15.2,-21.996332992023206,3.6,-0.32,,3.7561,3.5581068965517244
