month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2012-01,,0.11667035793462527,,-1.552448582953417,,0.8512585119999595,,2.816889304472206,0.08248724762029663,,1.345384361779207,2.4108611282487953
2012-02,,0.7474203975930424,2.5303503538353183,5.151811114606743,3.490989399447768,1.6602392399173593,2.0037939692390285,1.312921099907407,-0.07736946171375199,,1.345384361779207,1.369999227489071
2012-03,1.3166976824810392,2.0977617548421756,2.907892162108819,1.2071696655287816,0.21504178253640974,1.3660644297655775,-0.5363373827260894,1.7756805474658066,-0.1572978163807763,,1.345384361779207,0.692089902507624
2012-04,,3.2332688123231548,1.6095166751194714,0.8031021215947477,-0.45911483843905543,1.0912257298850725,0.9137890436140609,1.5443008236866065,-0.2440771728764027,,1.345384361779207,0.7234737746303445
2012-05,,-0.031016231769796627,0.9649331000183757,0.9118198464200472,-0.15605360515650687,1.0212905716849892,-0.10727093565746858,1.0815413761282069,-0.40393388221045134,,0.6775340105208846,0.653643448859054
2012-06,0.9361742143091795,-0.4749097812423574,2.898683825321656,0.875580604811614,-0.3531534984218456,0.9983459170758503,-0.32256474518358647,0.15602248101140784,-0.5592232569920986,,0.6775340105208846,-0.6181925824272877
2012-07,,-0.6384743725041113,1.0570164678899618,0.7668628799863139,-0.2994213602531627,0.8512585119999595,2.3161816889741904,-0.306736966546992,-0.7396329718119535,,0.7507471601874408,0.9768979740199626
2012-08,,-1.6702149662793464,1.7016000429910574,0.6581451551610144,-0.49210109512287026,0.8757730795126079,0.28104327218910674,-0.07535724276779221,-0.8789366756601958,,0.7507471601874408,0.508966123104579
2012-09,0.7459124802232491,-1.1670781365844136,-0.6004841537985603,0.7668628799863139,-0.6281694039436064,1.1209187546390929,0.21578961117472345,-0.19104710465739222,-0.8949223465936007,,0.7507471601874408,0.4968060050647816
2012-10,,-0.3860037564764974,1.0570164678899618,0.9118198464200472,0.017124242433520877,1.1944624571770384,1.368815050523051,-0.422426828436592,-0.7145126317737458,,0.7507471601874408,0.514815851585018
2012-11,,-0.3474331967887493,0.8728497321467963,1.0930160544622136,0.3325553219725001,1.2925207272276324,1.2026794311302762,-0.07535724276779221,-0.5866272643065069,,0.7507471601874408,0.2804509830686348
2012-12,1.3166976824810392,0.12901516347782951,1.3332665715047198,1.1654945376790806,,1.3660644297655775,0.4548993372829667,0.5030920666802073,-0.5272519151252888,,0.7507471601874408,0.04636912781618859
2013-01,,-0.007884994637407123,1.5174333072478854,3.847198416703144,,,,-0.040071834891464264,-0.45874189683926797,,0.7507471601874408,0.5828734523293135
2013-02,,-0.3735777755552314,0.3203495249172867,-1.7698840326040164,-3.805158250803521,0.6551174573312588,,1.3358276925615478,-0.4564582295630673,,0.7507471601874408,0.24622667279681867
2013-03,1.1264359483951099,-0.6424560017425013,0.5965996285320382,0.6581451551610144,-0.8302102261319722,0.7287567666825037,1.008321052704283,0.005162901107369203,-0.5226845805728875,,0.7507471601874408,0.3819151700322932
2013-04,,0.11689389097094588,-0.6925675216701463,0.8031021215947477,0.16762403855342606,0.7777148094620143,1.1712990781619466,0.37132131398795293,-0.6825412899069361,,0.7507471601874408,0.14757792370578818
2013-05,,0.46720517851832405,-0.8767342574133185,0.7668628799863139,-0.19478318145718246,0.8003162601259756,1.0003701422597386,0.0381345117459054,-0.7396329718119535,,0.7507471601874408,0.33783081029504086
2013-06,0.8410433472662139,-0.5994651338143897,-0.6004841537985603,0.6581451551610144,0.06780226556149126,0.9033446135940837,1.0619083823089415,0.6979137941022937,-0.7008106281165417,,0.7507471601874408,3.0425951069349724
2013-07,,-0.3893636673600554,-0.23215068231222286,0.9480590880284804,0.590804519385982,0.8787989125806944,1.1547594867039295,0.704508116230001,-0.6026129352399118,,0.7507471601874408,3.042662130758878
2013-08,,0.5717813800172011,-0.6925675216701463,1.2017337792875138,1.5880947170002013,0.917477997202151,0.3889035214708729,0.5801415146986811,-0.45417456228686665,,1.5560918065195546,1.4243361061099773
2013-09,1.1264359483951099,0.4521414468519898,0.5965996285320382,1.1292552960706468,0.9139380960247362,0.9002876470252568,0.9680008091530335,1.1415844144489091,-0.3902318785532472,,1.5560918065195546,1.0298912346599272
2013-10,,1.1086604743878647,1.4253499393762992,1.1654945376790806,0.7345753253064929,0.9052295386901315,0.7159785494452946,1.3196311118970037,-0.42905422224865897,,1.5560918065195546,1.3288556877286073
2013-11,,0.649009623787492,0.7807663642752103,1.0567768128537804,0.511918092690743,1.0035555078179637,0.7797774541336399,1.1023655512683348,-0.4085012167628527,,1.8489444051857773,1.916979351908842
2013-12,0.9361742143091795,0.6272365737659502,-0.6925675216701463,0.9480590880284804,,0.9738313495632019,1.2040926413186464,0.5015880984756425,-0.3947992131056486,,1.8489444051857773,2.252864803520624
2014-01,,0.11667035793462527,-1.6134012003859934,0.513188188727281,,,,0.48701117587755294,-0.45874189683926797,,1.8489444051857773,2.8477996906541065
2014-02,,-0.24902242298319902,0.5045162606604522,0.6219059135525812,1.6017636032776612,0.5385997179436409,-0.08246550459755941,-0.1319295852318065,-0.540953918782493,,1.8489444051857773,2.4884715386872975
2014-03,0.8410433472662139,-1.3897881171746869,-0.41631741805539485,0.6219059135525812,0.25421296234843993,0.6405312896612331,0.7736171145268276,0.36981734578338804,-0.6098978338509919,,1.8489444051857773,-0.06327758184491328
2014-04,,-0.1322168141731189,0.13618278917411467,0.5856666719441473,-0.27975206772081235,0.5660388733605481,0.9289020937613724,-0.30511730848053775,-0.5419130590384973,,1.8489444051857773,0.7558757352507921
2014-05,,0.46720517851832405,1.0570164678899618,0.6219059135525812,-0.13749883577186106,0.7076811027005295,0.8300047359719961,0.4768304680312683,-0.41453009837202254,,1.8489444051857773,0.44219389743474596
2014-06,0.9361742143091795,0.5215330393338841,0.2282661570457007,0.7668628799863139,-0.022046937378509112,0.6865034581177029,0.950949778971741,0.3134763830431532,-0.33752483781853515,,1.8489444051857773,0.2256678998420175
2014-07,,1.3544112686483802,-0.04798394656905081,0.6943843967694475,-0.6157995576871759,0.6359568713633731,0.9874620528366592,0.2545902433413469,-0.2826254764986704,,1.8489444051857773,0.8593058238504524
2014-08,,0.6963367325892336,0.3203495249172867,-0.06663967700765154,-1.5373531037912522,0.5574156290922989,0.04870345319637682,-0.08588502019974592,-0.35912833025139373,,1.8489444051857773,0.9035402687861898
2014-09,0.5556507461373188,0.4521414468519898,-0.6925675216701463,0.3319919806851146,-0.6673405837556364,0.4755980148731596,0.41946054884183803,-0.506301978306552,-0.4951892265674311,,1.8489444051857773,0.46030063012637773
2014-10,,0.3613283589556793,-0.6004841537985603,0.22327425585981475,-0.6008235909886196,0.46411686232428573,0.4634374482239071,-0.5368441018454063,-0.5964013602486459,,1.8489444051857773,0.05385841496465934
2014-11,,-0.7210992545048465,-0.6004841537985603,0.04207804781764828,-0.5534229586262905,0.5131538420111867,0.5136780440592621,-0.7240302983827789,-0.6991663876776771,,1.8489444051857773,0.15042195680014375
2014-12,0.6507816131802844,-0.49376159938232356,0.04409942130252866,0.2957527390766814,-0.37391814084020275,0.5544160266114513,0.9278358823547084,-0.6473279199499742,-0.8413018389484084,,1.8489444051857773,0.8764389686734202
