variable,mean_train,std_train,train_n_obs,train_n_missing,invalid_for_standardization
GDP同比,8.307500000000001,1.617310653523311,40,80,False
制造业PMI_去季节性,51.265065985390464,2.402680817564446,120,0,False
服务业PMI,53.34098591549296,1.0378799557841587,71,49,False
工业增加值,10.028395766666666,4.470004492431053,120,0,False
用电量,7.168799278651685,6.1357067407165795,89,31,False
社零,14.477274426086957,3.8052007185250285,115,5,False
固投当月同比_去季节性,2.123641665296242,13.16323099493669,109,11,False
CPI,2.620620625,2.068542836277642,120,0,False
PPI,0.7402016666666665,5.030036882485445,120,0,False
逆回购7天(19日),3.3880600000000007,0.6370463568166239,120,0,False
银行间7天回购(20-19均值),3.0201359465668203,1.0226044524877285,120,0,False
