variable,mean_train,std_train,train_n_obs,train_n_missing,invalid_for_standardization
GDP同比,7.007142857142857,1.2772073063529508,42,78,False
制造业PMI_去季节性,50.54279430318,0.8911848083478843,120,0,False
服务业PMI,53.35414953271028,0.9920481202880591,107,13,False
工业增加值,7.807529833333334,3.3203873226367118,120,0,False
用电量,6.0713331311111105,4.689961282600161,108,12,False
社零_去季节性,6.897810342515344,4.510203751629307,113,7,False
CPI,2.498928625,1.2646435231030724,120,0,False
PPI,0.14399980833333328,3.901924839932556,120,0,False
失业率差分,-0.005399999999999983,0.12226673417456715,35,85,False
逆回购7天(19日),2.9928966666666668,0.6971351523596808,120,0,False
银行间7天回购(20-19均值),3.1907436407499956,0.8125118170318303,120,0,False
