variable,mean_train,std_train,train_n_obs,train_n_missing,invalid_for_standardization
GDP同比,5.995833333333333,1.2329977959488876,48,72,False
制造业PMI,50.39035833333334,0.9257470118399278,120,0,False
服务业PMI,52.526291666666665,1.945289915821604,120,0,False
工业增加值,6.049067466666666,2.7827471592935487,120,0,False
用电量,5.8181465964912285,4.55204045477405,114,6,False
社零,7.543551821428571,4.531896065380013,112,8,False
固投当月同比_去季节性,-16.12409421074782,25.751716582359638,112,8,False
CPI,1.7511322916666667,0.9646024508952846,120,0,False
PPI,0.862461475,4.6574632046236895,120,0,False
失业率差分_去季节性,0.1346523216800789,0.11294560592744009,71,49,False
逆回购7天(19日),2.5237499999999997,0.6351332701357513,120,0,False
银行间7天回购(20-19均值),2.6769583609240204,0.6473043092923791,120,0,False
