month,GDP同比,制造业PMI一阶差分_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2015-01,,-0.8516268766188546,0.31041427578465164,1.0375190653890878,,,,-0.7673922788158166,-1.103012252595487,,4.547940436714313,3.7672818549099887
2015-02,,0.2545453706101068,0.45892798338313057,-0.5933847510555739,-2.747841411516904,0.9054663223110613,-1.1122123862973374,-0.1370967219238775,-1.2051374579519019,,3.9224988166075536,3.468806909506256
2015-03,1.1175530760564287,-0.36966579260887394,0.01338686058769723,-0.04975014557402011,-1.8232527192500483,0.7998043250279931,1.0320987291238883,-0.18933011664308072,-1.1543743426794317,,2.679120875835318,1.9293592854741692
2015-04,,1.1041073228335252,0.06289142978719021,0.031795045248213166,-1.046244710558387,0.7453416068179681,0.7550299757515273,-0.06342213262735226,-1.1569841615008567,,2.6716155763940335,1.8847930478829824
2015-05,,0.43158303794001035,-0.1351268470107782,0.08615850579636837,-0.98090629986518,0.7740848880738211,0.7688138573918658,-0.3262892890532878,-1.1643643868565257,,2.6716155763940335,-0.31249023367531875
2015-06,1.1175530760564287,0.04492290216053858,0.01338686058769723,0.2764306177149123,-0.9401782008715917,0.8869628518754817,0.9710837780499804,-0.17506747179208662,-1.2085387792027755,,2.6716155763940335,-0.7096993726698857
2015-07,,-0.015521007688852615,0.26090970658515866,0.05897677552229077,-1.6302954418610822,0.8600497152066516,0.9395390618914291,0.06711412686982429,-1.3274138873229255,,0.5451140680310484,0.4671069455813561
2015-08,,-0.6166549423609231,0.16190056818617618,0.08615850579636837,-0.9080226915439794,0.9230404347516821,-0.05964683198787182,0.3581287545910988,-1.445818372376917,,0.5451140680310484,-0.06750470666212197
2015-09,1.0324061750235585,-0.20707050689376838,0.3599188449841446,-0.022568415299942274,-1.3691916385840663,0.9472660597749593,0.23429876242792447,0.01828109781046073,-1.4458660764422593,,0.16984909596699255,-0.10582219466416261
2015-10,,0.5826704384974016,0.01338686058769723,-0.04975014557402011,-1.3893070820834572,0.9750277896069423,0.6457541727183522,-0.2917189048449181,-1.4409623980124624,,0.16984909596699255,-0.17844792130182305
2015-11,,-0.686999829642,0.26090970658515866,0.1133402360704462,-1.2044323590836739,1.0085096492815364,0.5270947898352016,-0.08561896401797209,-1.4409623980124624,,-0.08032755207571175,-0.23596942190566234
2015-12,0.947259273990688,0.6679633855717646,0.706450829380592,0.031795045248213166,-1.8177981892880817,0.9922603950428794,0.7752799596851587,0.02243710028359822,-1.4409623980124624,,-0.08032755207571175,-0.1898714924178675
2016-01,,-0.8516268766188546,0.21140513738566918,0.022478235379470243,,,,0.2113463036080217,-1.3126106526964825,,-0.08032755207571175,-0.09856730574973854
2016-02,,-0.5660599224516799,-0.03611770861179224,-0.2381366608634511,-0.43326373185740136,0.789785886337238,-1.1753437732618615,0.6836193119190803,-1.2270428224858292,,-0.08032755207571175,-0.145491784294751
2016-03,0.8621123729578168,1.2715447935146997,0.4094234141836376,0.2764306177149123,-0.06992376786034407,0.8572773892391186,0.8981331581289099,0.684933175428202,-1.0986910771698493,,-0.08032755207571175,-0.19863124737239363
2016-04,,0.9399862642211654,0.1123959989866832,0.05897677552229077,-0.9121542383948221,0.767288718703278,0.635147831766629,0.7099390866722558,-0.9061634591958793,,-0.08032755207571175,-0.054924800761248976
2016-05,,0.26746197932765065,-0.1351268470107782,0.05897677552229077,-0.8744737775597454,0.7447915510693178,0.665894756042749,0.43709185703469117,-0.7778117138798993,,-0.08032755207571175,-0.006226507833055855
2016-06,0.7769654719249465,-0.11919815645182107,-0.03611770861179224,0.1133402360704462,-0.7426489055637636,0.8797745568730787,0.8361824254369938,0.2864405455675298,-0.7350277987745728,,-0.08032755207571175,-0.19396492549801642
2016-07,,0.14860005092350698,0.16190056818617618,0.05897677552229077,0.4969645151326813,0.789785886337238,0.7011665029787507,0.17839392672612578,-0.5425001808006028,,-0.08032755207571175,-0.08274473849828258
2016-08,,0.6963135265379311,0.21140513738566918,0.1405219663445238,0.522046920314062,0.8797745568730787,-0.1257798033061367,-0.22335927598392558,-0.3499725628266329,,-0.08032755207571175,-0.029568427929805123
2016-09,0.7769654719249465,-0.37119156550611637,0.01338686058769723,0.08615850579636837,0.20614237111062314,0.9022717245070387,0.23075728176930557,0.32490529300243237,-0.15744494485266303,,-0.08032755207571175,-0.04705044678352651
2016-10,,1.8956389073962672,0.16190056818617618,0.08615850579636837,0.23191732958021394,0.7447915510693178,0.7185304300707368,0.4908818635892873,0.07786658822663352,,-0.08032755207571175,0.04158507645004385
2016-11,,0.4618475806444943,0.706450829380592,0.1133402360704462,0.22755096948689832,0.9247688921409992,0.5053972370366511,0.6385247959935072,0.5270976968325632,,-0.08032755207571175,0.38821906250251037
2016-12,0.8621123729578168,0.011479151122325856,0.45892798338313057,0.05897677552229077,0.20785536399124072,0.9472660597749593,0.5885801280458919,0.472555781774785,0.9977207629911564,,-0.08032755207571175,0.7528131673678113
2017-01,,-0.5233847593941353,0.607441690981606,-0.7735316684470238,,,,0.9188632200889021,1.297208168728443,,-0.08032755207571175,0.5012297417909787
2017-02,,0.5827874878348263,0.45892798338313057,1.233929083820821,2.5253398387182586,0.6323057128995171,-1.1181903744448298,-0.7331997130140959,1.4897357867024128,,0.16984909596699255,0.46649204708743364
2017-03,1.0324061750235585,-0.3696657926088856,0.9539736753780534,0.4938844599075338,0.4351355195476054,0.9472660597749593,0.8631170932502858,-0.6387451113518842,1.4469518715970862,,0.42002574400969683,1.213926424402084
2017-04,,0.11938097115939025,0.16190056818617618,0.19488542689267924,0.015963829227136628,0.9022717245070387,0.5172866918451534,-0.35538130636524895,1.1902483809651263,,0.42002574400969683,1.4436267077059106
2017-05,,0.26746197932765065,0.607441690981606,0.19488542689267924,-0.20138643986913063,0.9022717245070387,0.5601207068547666,-0.07201750137861362,0.9977207629911564,,0.42002574400969683,1.9065815402056108
2017-06,1.0324061750235585,0.8655281952223253,0.7559553985800814,0.4938844599075338,0.12590105691950637,0.9697632274089193,0.9042708917828599,-0.07201750137861362,0.9977207629911564,,0.42002574400969683,1.3722929231089214
2017-07,,-0.1796420663012123,0.4094234141836376,0.16770369661860166,0.8935770894704896,0.8347802216051585,0.6776459643578545,-0.16647210304082546,0.9977207629911564,,0.42002574400969683,1.4549811846418177
2017-08,,0.36807140931322313,0.16190056818617618,0.05897677552229077,0.10721355603217225,0.767288718703278,-0.12807213052175442,0.2113463036080217,1.168856423412463,,0.42002574400969683,1.7114798272401481
2017-09,0.947259273990688,0.7776558447803782,1.0529828137770358,0.22206715716675685,0.27974791240939756,0.8122830539711985,0.14334640974455656,0.02243710028359822,1.297208168728443,,0.42002574400969683,1.8449983739607647
2017-10,,-0.7302980304014526,0.607441690981606,0.1133402360704462,-0.2219102834779227,0.7447915510693178,0.4965767167012959,0.30580090527023335,1.297208168728443,,0.42002574400969683,1.5628834611694964
2017-11,,-0.03051559519258472,0.656946260181099,0.08615850579636837,-0.29386293690943455,0.789785886337238,0.39347709027883815,0.11689170194580986,1.0618966356491464,,0.42002574400969683,1.4969781362826666
2017-12,0.8621123729578168,0.17560020973469712,0.5579371217821131,0.1133402360704462,0.3179628144639704,0.6098085452655571,0.11696807285262956,0.2113463036080217,0.8693690176751765,,0.5451140680310484,1.712934775952924
2018-01,,-0.8516268766188546,1.0529828137770358,2.6234373900474535,,,,-0.07201750137861362,0.7410172723591965,,0.5451140680310484,2.2233723997405863
2018-02,,-1.5507862741258265,0.7559553985800814,-2.1481479201083973,-0.8796520038782292,0.6773000481674373,-1.0802275674953317,1.2503469218923509,0.6126655270432166,-0.5252714260877617,0.5451140680310484,1.0438096605041525
2018-03,0.947259273990688,1.2715447935146997,0.656946260181099,0.05897677552229077,-0.5185733788724348,0.767288718703278,0.775654991221343,0.494710108594657,0.48431378172723666,1.0726460717636284,0.5451140680310484,1.1438722010536353
2018-04,,0.9399862642211654,0.7559553985800814,0.3307940782630677,0.4188854115152794,0.6098085452655571,0.3820971367077959,0.2113463036080217,0.5484896543852266,-0.7940824553719531,0.6702023920524001,1.3435294924293235
2018-05,,1.0880672723894376,0.8549645369790675,0.2764306177149123,1.221780739167915,0.4073340365599157,0.3603225208207478,0.2113463036080217,0.6982333572538698,-0.8549541757120417,0.6702023920524001,1.790468571938275
2018-06,0.947259273990688,-0.6115613322888885,0.8549645369790675,0.05897677552229077,0.45476900157796707,0.5198198747297164,0.7946960270665829,0.30580090527023335,0.8265851025698498,0.05755599471129088,0.6702023920524001,1.268615914533841
2018-07,,-0.17964206630120064,0.3599188449841446,0.05897677552229077,0.19461297362348173,0.4748255394617963,0.5064862972488491,0.494710108594657,0.8051931450171864,1.662253806210611,0.6702023920524001,1.0204423264560847
2018-08,,0.03982929208849219,0.5579371217821131,0.08615850579636837,0.6431578494070771,0.5198198747297164,-0.2033013577157992,0.6836193119190803,0.6982333572538698,-0.1105995703516532,0.6702023920524001,0.10016780806777746
2018-09,0.7769654719249465,-1.191796858567903,0.5579371217821131,0.004613314974135326,0.4592544503358029,0.5648142099976365,0.24788743582811734,0.8725285152435039,0.5912735694905533,-0.14662268467138062,0.6702023920524001,0.28758577169037586
2018-10,,-0.4020559131767332,-0.08562227781128523,0.031795045248213166,0.17442845421321998,0.4298312041938757,0.5647457872441423,0.8725285152435039,0.5270976968325632,0.13817995117726678,0.6702023920524001,0.526348255921836
2018-11,,-0.6869998296420117,0.06289142978719021,-0.10411360612217531,0.0824767546775829,0.317345366024075,0.5715859613744805,0.5891647102568689,0.3987459515165834,-1.1588510902820943,0.6702023920524001,0.22428120733693588
2018-12,0.6066716698592048,-0.48088402471474156,0.01338686058769723,-0.022568415299942274,0.634186951891405,0.33102679354899167,-2.2164635123218797,0.30580090527023335,0.01369071556864357,0.5527886379400277,0.6702023920524001,0.440763796671514
2019-01,,-0.195142642169416,0.656946260181099,0.27581984423565387,,,,0.11689170194580986,-0.15744494485266303,0.6909800531677643,0.6702023920524001,0.7656698470822219
2019-02,,-0.4019388638393201,0.607441690981606,-0.6584260107072952,0.27535105126452875,0.3398425336580351,-0.9927019747804366,-0.07201750137861362,-0.15744494485266303,0.9398204269745188,0.6702023920524001,-0.04682410377962875
2019-03,0.5215247688263345,1.4356658521270478,0.656946260181099,0.7385200323742331,0.3471182313899041,0.4523283718278358,0.46123359072945164,0.6836193119190803,-0.09326907219467304,-0.3924457812986442,0.6702023920524001,0.2299227641634212
2019-04,,0.44762308838409803,0.5084325525826201,-0.10411360612217531,-0.025174015510480065,0.1148708573184338,0.13069681962730345,0.8725285152435039,0.01369071556864357,-1.160355418637531,0.6702023920524001,0.565624326400034
2019-05,,-0.8813854309588555,0.607441690981606,-0.2128405272184862,-0.8078848237528539,0.4298312041938757,0.09321563952972824,1.0614377185679278,-0.05048515708934641,0.06072823245188775,0.6702023920524001,0.21416963145752468
2019-06,0.26608406572772175,0.04492290216053858,0.5579371217821131,0.1405219663445238,-0.09918392001477332,0.6997972158013978,0.6095404071761819,1.0614377185679278,-0.17883690240532635,0.9732384028752119,0.6702023920524001,0.19493404996307434
2019-07,,0.8050842853729456,0.31041427578465164,-0.2672039877666416,-0.7316321948696427,0.20485952785427428,-0.08309092808455208,1.1558923202301392,-0.24301277506331628,0.7465713980466883,0.6702023920524001,-0.07558038678541927
2019-08,,-0.45253388374857506,0.1123959989866832,-0.3759309088629523,-0.5297870007670248,0.1823623602203142,-0.8421266896740028,1.1558923202301392,-0.3499725628266329,-0.1105995703516532,0.6702023920524001,0.5128089733588254
2019-09,0.18093716469485133,0.1211716103309509,0.3599188449841446,0.004613314974135326,-0.34588360169575066,0.2498538631221946,-0.48105848040055416,1.3448015235545627,-0.43554039303728614,0.7690597234925406,0.6702023920524001,0.49846597458548586
2019-10,,-0.2379348545643852,-0.4321542622077326,-0.2943857180407192,-0.2068346902028361,0.1148708573184338,-0.5084297527963516,2.100438336852257,-0.5211082232479395,-0.7775024569866626,0.6702023920524001,0.4147037750630388
2019-11,,1.1183318150939332,0.607441690981606,0.1133402360704462,-0.2786018703282114,0.29484819839011495,-2.152171681390049,2.7616205484877394,-0.47832430814261284,-0.2431686821181648,0.5451140680310484,0.4962561521000553
2019-12,0.09579026366198092,0.5038423269594049,0.3599188449841446,0.3036123479889901,1.7533064169714754,0.29484819839011495,-2.7487477929314137,2.7616205484877394,-0.28579669016864295,0.5527886379400277,0.5451140680310484,0.14161518301144072
2020-01,-0.28737079098593743,-0.8516268766188488,0.24853356428528628,0.09974937093340741,1.0199355450652972,-0.5769170474258407,-1.484365314616014,2.4782567435011043,-0.42484441426095454,-0.22470235499615132,0.35748158199901997,-0.26853243685333045
2020-02,-0.6705318456338558,-0.8943020396763993,0.13714828358642794,-0.10411360612217531,0.2865646731591186,-1.4486822932417964,-1.7344478710797406,2.1948929385144686,-0.5638921383532661,0.024138018810593735,0.16984909596699255,-0.6786800567181016
2020-03,-1.0536929002817734,-2.174997437344813,0.025763002887573112,-0.30797658317775806,-0.44680619874705985,-2.320447539057752,-1.5824502425776097,1.911529133527833,-0.7029398624455778,1.4389190350292003,-0.017783390065034838,-1.0888276765828728
2020-04,,-0.8653453805147678,-0.08562227781128523,-0.5118395602333409,-1.1801770706532382,-2.835857649551779,-0.012287491772987212,1.6281653285411979,-0.8419875865378894,1.5866918058542407,-0.20541587609706335,-1.498975296447644
2020-05,,-0.06078013789705703,0.01338686058769723,-0.3759309088629523,-0.3010291141173911,-2.134845906077581,0.11081188936033606,0.7780739135812922,-0.9703393318538693,-0.8549541757120335,-0.20541587609706335,-1.746671578752267
2020-06,-2.2031760642255285,0.537286077997606,0.5579371217821131,-0.2672039877666416,0.026408645204633492,-1.9098742297379794,0.6547541350660874,0.8725285152435039,-0.820595628985226,-1.7738088216165597,-0.20541587609706335,-1.1464103295070656
2020-07,,0.6409632267605859,0.4094234141836376,-0.2672039877666416,-0.8213411700263618,-1.7523940563002585,-0.19779640603507434,1.0614377185679278,-0.692243883669246,-1.084793418281162,-0.20541587609706335,-0.40836575483621523
2020-08,,-0.28841282513621547,1.003478244577543,-0.04975014557402011,0.39870089210501763,-1.3924393741568961,-0.3962963338141838,0.7780739135812922,-0.6066760534585928,-0.11059957035166146,-0.20541587609706335,-0.441941555453081
2020-09,-0.7556787466667262,0.44941372755567033,1.4490193673729763,0.3036123479889901,0.2843219487802007,-0.762518680406012,-0.10368716796178776,0.11689170194580986,-0.6280680110112562,-1.0623050928353026,-0.20541587609706335,-0.18999201014011768
2020-10,,0.41854937988504193,1.5975330749714516,0.3036123479889901,0.14303031290836818,-0.5375470040664105,-0.33126947225443754,-1.0165635180007313,-0.6280680110112562,-0.7775024569866626,-0.20541587609706335,-0.18076217924343504
2020-11,,0.7900896978692137,1.6965422133704378,0.3307940782630677,0.7687504146264839,-0.38006683062868946,-2.266385291053489,-1.9611095346228489,-0.4997162656952762,-1.1588510902820859,-0.20541587609706335,0.42544653024893647
2020-12,0.6066716698592048,0.17560020973468554,1.2510010905750042,0.4123392690853008,2.0208858626201818,-0.47005550116453015,-0.6767032695460103,-1.2999273229873665,-0.26440473261597963,-0.36289377022390185,-0.20541587609706335,-0.21535294954093995
2021-01,0.8337300726135267,-1.343990052455922,-0.580667969806208,0.5822250832982864,2.361084723658247,0.26672673884766473,0.2037608043056255,-1.134631770078496,0.12065050333196016,0.6909800531677718,-0.20541587609706335,-0.31750546849349526
2021-02,1.0607884753678485,-1.0584230982887473,-0.729181677404687,0.7521108975112722,2.188394946481563,1.0035089788598592,-0.5865884553137963,-0.9693362171696254,0.5057057392799,0.024138018810589412,-0.20541587609706335,-0.41965798744604976
2021-03,1.2878468781221704,1.4356658521270478,1.4490193673729763,0.9219967117242578,2.0157051693048786,1.740291218872054,-0.9748575299673606,-0.8040406642607549,0.8907609752278398,-1.3081281894625736,-0.20541587609706335,-0.5218105063986043
2021-04,,-0.20886114606532913,1.0529828137770358,0.9236955698663886,1.8430153921281944,1.7476590412721797,0.05503851768156663,-0.6387451113518842,1.2758162111757796,-1.160355418637531,-0.20541587609706335,-0.6239630253511596
2021-05,,0.10334092071529095,1.003478244577543,0.8200652231964665,1.6860246856039363,1.2847235742843615,-0.7114176328169701,-0.2609267047030371,1.7464392773343727,-0.8549541757120335,-0.20541587609706335,-0.6344121302714731
2021-06,1.969022086385136,-0.11919815645182107,0.01338686058769723,0.6841565718260779,1.0760036545382465,1.217232071382481,-0.6979536461627377,-0.4498359080274606,1.7036553622290462,0.05755599471129088,-0.20541587609706335,-0.47228938715996555
2021-07,,-0.50788418352592,0.1123959989866832,0.16770369661860166,1.7331218975612135,0.4073340365599157,-0.2694696559551837,-0.5442905096896724,1.7464392773343727,-0.16911101011724095,-0.20541587609706335,-0.2695041233981355
2021-08,,-0.6166549423609231,-3.501437552576252,-0.13129533639625315,-0.37055356986384846,-0.9424960214776932,-0.6529161951016483,-0.7331997130140959,1.8533990650976893,0.805082837812268,-0.20541587609706335,-0.5212569091349049
2021-09,-0.24479734046950224,-1.191796858567903,0.06289142978719021,-0.7292934024259624,0.37627364831583776,-0.5150498364324503,-0.4587743296378266,-0.8276543146763078,2.110102555729649,-1.0623050928353026,-0.20541587609706335,-0.40903843036008075
2021-10,,-0.07381379595202552,-0.3331451238087466,-0.6205664813296516,0.035379542720305406,-0.40256399826264955,-0.09252532833203922,-0.07201750137861362,2.582009139341403,0.13817995117726678,-0.20541587609706335,-0.3270528248717426
2021-11,,1.1183318150939214,-0.580667969806208,-0.5390212905074186,-0.6396804953340056,-0.6275356746022511,0.540663424452389,0.6836193119190803,2.5807256218882424,0.6725137260457564,-0.20541587609706335,-0.4968356902932487
2021-12,-1.0962663507982093,0.8320844441841125,-0.1351268470107782,-0.4031126391370301,-1.8238389674026971,-1.1224733625493744,1.6769079054879628,-0.07201750137861362,2.024534725518996,0.5527886379400193,-0.20541587609706335,-0.32225812557249667
2022-01,,-0.6875058180064834,-0.9767045234021484,-0.5232675750924713,-1.6197510489211613,,,-0.6387451113518842,1.767831234887036,0.6909800531677718,-0.45559252413976764,-0.0771361971174754
2022-02,,0.2545453706101068,-0.8776953850031625,1.9062213423048504,2.464250045088474,0.0023850191486330663,6.305737284928547,-0.6387451113518842,1.7036553622290462,0.9398204269745188,-0.45559252413976764,-0.4828917699741487
2022-03,-0.8408256476995973,-1.8467553201200995,-2.7588690145838677,-0.2128405272184862,-0.5499715201772866,-2.298043059754444,0.1360119898403702,-0.07201750137861362,1.5966955744657296,3.27028385135705,-0.45559252413976764,-0.5013897796047657
2022-04,-0.9543548490767587,-0.2498914107184278,-2.0039243342916113,-0.2943857180407192,-0.39298081365302817,-1.9479077163682763,0.6587353486855633,0.2113463036080217,1.3774280095509304,2.502374214018168,-0.45559252413976764,-0.6853921904256214
2022-05,-1.067884050453919,-1.2916880774897488,-1.2489796539993545,-0.3759309088629523,-0.23599010712876975,-1.5977723729821083,-0.5637240309071901,0.494710108594657,1.1581604446361313,0.9764106406158136,-0.45559252413976764,-0.8693946012464762
2022-06,-1.1814132518310798,-1.7193784779223078,-0.494034973707098,-0.45747609968518554,-0.07899940060451155,-1.2476370295959405,-1.1335595895129797,0.7780739135812925,0.9388928797213324,0.05755599471129342,-0.45559252413976764,-1.0533970120673317
2022-07,,-1.6567315938124263,0.26090970658515866,-0.5390212905074186,0.07799130591974685,-0.8975016862097728,0.5859400184449397,1.0614377185679278,0.7196253148065332,-2.0004758264450833,-0.45559252413976764,-1.2373994228881873
2022-08,,0.5321924679255714,-0.1846314162102712,-0.4302943694111077,1.0647900326436563,-0.2900781600928488,-0.3260579429903599,0.8725285152435039,0.31317812130593004,-0.11059957035166146,-0.7057691721824719,-1.746828414599319
2022-09,-1.5220008559625628,0.7776558447803898,-1.6697684921950398,0.1405219663445238,-1.1353225830748785,-0.9424960214776932,0.3284440264677907,1.1558923202301392,0.01369071556864357,2.6004245398203913,-0.7057691721824719,-1.6228444835283882
2022-10,,-0.8944190890138123,-2.6103553069853924,-0.2128405272184862,-0.8325547919209516,-1.6174110504964976,0.5094748213477688,0.494710108594657,-0.4569323505899495,0.13817995117726678,-0.7057691721824719,-1.254780977215617
2022-11,,-2.3282104157655854,-3.550942121775745,-0.9739289748926616,-1.2384879045051054,-2.832258102730346,0.4619254883721732,0.02243710028359822,-0.4569323505899495,1.588196134209686,-0.7057691721824719,-1.120178366634224
2022-12,-2.37346986629127,-1.1373682591641687,-3.5791597262194568,-0.9763753306173286,-1.8291542241807328,-1.9098742297379794,0.24903223335808156,0.2113463036080217,-0.32858060527396954,-2.194258586551752,-0.7057691721824719,-1.0267219359641147
2023-01,,4.728489116201304,0.8549645369790675,-4.233877921065844,-2.411432754679207,,,0.494710108594657,-0.3499725628266329,-1.1403847631600788,-0.7057691721824719,-0.20082073595819855
2023-02,,4.193450777306681,1.6470376441709447,3.5313928036520124,1.132071764011196,-0.7175243451380917,0.0816906371427841,-0.5442905096896724,-0.47832430814261284,0.024138018810589412,-0.7057691721824719,-0.6326593618167246
2023-03,-0.9259725487324678,-1.8467553201200995,1.7024827616743805,-0.5118395602333409,-0.007232220479136237,0.8797745568730787,-0.4145894765012286,-0.8276543146763078,-0.7136358412219094,-1.5919897359933897,-0.7057691721824719,-0.3377848443650373
2023-04,-0.8833990982160326,-0.8899635393066213,1.3995147981734832,-0.5254304253703797,0.0230445586362564,0.4242069122853856,0.11925995606140694,-1.0637908188318372,-0.8152476395970603,-0.2446730104736019,-0.7683133341931477,-0.3831119206328361
2023-05,-0.8408256476995973,-0.3890222551217881,0.7559553985800814,-0.5390212905074186,0.05332133775164904,-0.03136073230230724,-1.092073349813904,-1.2999273229873665,-0.916859437972211,0.06072823245188775,-0.8308574962038241,-0.42843899690063575
2023-06,-0.7982521971831622,0.37316501938525787,0.26090970658515866,-0.5526121556444574,0.08359811686704187,-0.48692837689000007,-1.6507828347022513,-1.536063827142896,-1.0184712363473618,0.05755599471129088,-0.8934016582145005,-0.47376607316843455
2023-07,,0.805084285372934,-0.38264969300823964,-0.5662030207814962,0.11387489598243451,-0.9424960214776932,0.07984284697311037,-1.7722003312984254,-1.1200830347225126,-0.16911101011724095,-0.9559458202251763,-0.5190931494362333
2023-08,,0.5321924679255831,-0.8776953850031625,-0.34874917858887466,-0.46250526939948544,-0.47005550116453015,-0.9785857063266784,-1.394381924649578,-0.820595628985226,-0.1105995703516532,-1.20612246826788,-1.1415856496871277
2023-09,-0.6705318456338558,0.44941372755567033,-0.679677108205194,-0.34874917858887466,0.8831293579513007,-0.2675809924588887,-0.5037899406975225,-1.48883652631179,-0.7136358412219094,-1.06230509283531,-1.20612246826788,-0.8378095128763031
2023-10,,-0.5661769717891045,-1.075713661801131,-0.32156744831479706,0.5467207011136042,0.20485952785427428,-0.15136109602843176,-1.6777457296362135,-0.7350277987745728,0.13817995117726678,-1.20612246826788,-0.44053147824809324
2023-11,,-0.5228787710296521,-1.4717502153970712,0.22206715716675685,1.265970707512801,0.767288718703278,-0.27488213970946096,-1.9611095346228489,-0.820595628985226,-0.2431686821181648,-1.20612246826788,-0.31293199962590973
2023-12,-0.4150911425352438,-0.15264190749002227,-1.4717502153970712,0.2764306177149123,0.9077993261193983,0.15986519258635412,-0.5894044833370469,-1.7722003312984254,-0.7564197563272361,0.5527886379400193,-1.20612246826788,-0.21204159110320772
2024-01,,-0.031021583557056354,-1.075713661801131,5.576868021160063,,,,-2.2444733396094843,-0.7136358412219094,-0.2247023549961493,-1.20612246826788,-0.22738030054720784
2024-02,,-0.07369674661461244,-0.630172539005701,-5.024006785730238,,-0.2675809924588887,-0.25945426468156346,-0.8276543146763078,-0.7564197563272361,0.024138018810589412,-1.20612246826788,-0.7634975308595976
2024-03,-0.4150911425352438,1.4422306944715453,0.06289142978719021,-0.34874917858887466,0.3157200900850525,-0.8075130156739322,-0.971370311824385,-1.394381924649578,-0.7778117138798993,-0.3924457812986442,-1.20612246826788,-0.8991548341134223
2024-04,,0.44762308838409803,-0.9767045234021484,0.24924888744083468,0.22601111492833334,-0.9874903567456135,-0.4763820122072418,-1.2054727213251548,-0.7136358412219094,-1.160355418637531,-1.20612246826788,-0.7485588926023135
2024-05,,-1.2096275481835632,-0.8776953850031625,-0.04975014557402011,0.2843219487802007,-0.6725300098701713,-0.08075709423201137,-1.2054727213251548,-0.47832430814261284,0.06072823245188775,-1.20612246826788,-1.0544745664394615
2024-06,-0.9259725487324678,0.04492290216053858,-1.0262090926016378,-0.13129533639625315,-0.027416739889397995,-1.0549818596474938,0.8740951017252774,-1.2999273229873665,-0.3499725628266329,0.05755599471129088,-1.20612246826788,-1.1966108252137633
2024-07,,0.14860005092350698,-1.1252182310006238,-0.1856587969444086,-0.058814881194249595,-0.8975016862097728,0.5739553145199819,-1.0165635180007313,-0.3499725628266329,0.7465713980466883,-1.20612246826788,-0.9226480329462329
2024-08,,-0.6166549423609231,-1.0262090926016378,-0.34874917858887466,0.6543714713016667,-1.0324846920135335,-0.4766807910531624,-0.9221089163385195,-0.5638921383532661,1.7207652459761895,-1.4562991163105843,-1.146374591138028
2024-09,-1.0111194497653389,0.7776558447803782,-1.1747228002001169,-0.10411360612217531,0.5758761180395376,-0.785015848039972,0.255502343763448,-1.1110181196629432,-0.7778117138798993,-1.06230509283531,-1.4562991163105843,-1.175322670057648
2024-10,,1.0750336143344805,-1.075713661801131,-0.13129533639625315,-0.36382539672709446,-0.4250611658966098,0.2660877685707874,-1.2054727213251548,-0.7992036714325627,-0.7775024569866544,-1.9566524123959923,-1.1009197537463966
2024-11,,-0.03051559519258472,-1.075713661801131,-0.10411360612217531,-0.7092049510804629,-0.8300101833078924,0.2553554246287953,-1.2999273229873665,-0.7136358412219094,-0.2431686821181648,-1.9566524123959923,-1.2320513745083597
2024-12,-0.3299442415023726,0.17560020973469712,-0.1351268470107782,0.1133402360704462,-0.6217387003026618,-0.6725300098701713,0.61842936435477,-1.394381924649578,-0.6708519261165827,0.5527886379400193,-1.9566524123959923,-1.2158448183362551
