variable,mean_train,std_train,train_n_obs,train_n_missing,invalid_for_standardization
GDP同比,6.293478260869565,1.269863805798166,46,74,False
制造业PMI_去季节性,50.283474663351654,0.850976642051835,120,0,False
服务业PMI,52.624541666666666,1.8385118025903147,120,0,False
工业增加值,6.565845350000001,2.480346555515434,120,0,False
用电量,5.721264910714285,4.825657599816133,112,8,False
社零,8.195147642857142,4.739807751666984,112,8,False
固投当月同比_去季节性,-12.54337102658129,26.15185423204869,111,9,False
CPI,1.9926372916666666,0.8215380288724354,120,0,False
PPI,0.948711475,4.590537759219436,120,0,False
失业率差分,0.012542372881355936,0.13663750409961684,59,61,False
逆回购7天(19日),2.695416666666667,0.6799585107849514,120,0,False
银行间7天回购(20-19均值),2.8653880530406366,0.7971182456791412,120,0,False
