month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
2001-01,,,,2.3,,12.5,,1.2,1.43,2.5,2.5238387096774195
2001-02,,,,19.0,,8.6,18.41716673473876,0.0,0.9,2.5,3.04532083996118
2001-03,9.5,,,12.1,,9.5,-32.52659584680074,0.8,0.2,2.5,3.3481955743373826
2001-04,,,,11.5,,9.7,-0.9233915842361711,1.6,-0.1,2.5,3.079772122910998
2001-05,,,,10.2,,11.1,-16.467067213720377,1.7,-0.2,2.5,2.945686980840478
2001-06,8.6,,,10.1,,10.0,-24.593337855600765,1.4,-0.6,2.5,2.7381573517925824
2001-07,,,,8.1,,9.8,14.971729738457059,1.5,-1.3,2.5,2.5242909012541537
2001-08,,,,8.1,,9.6,-1.2215142080965045,1.0,-2.0,2.5,3.1312743032624235
2001-09,8.0,,,9.5,,9.9,-17.239243732769808,-0.1,-2.9,2.5,2.8222506750078304
2001-10,,,,8.8,,10.5,-3.9139963684040726,0.2,-3.1,2.5,2.7393007808943937
2001-11,,,,7.9,,10.1,-4.447304008539099,-0.3,-3.7,2.5,2.732291155810488
2001-12,7.5,,,8.7,,9.6,-4.200336127837312,-0.3,-4.0,2.5,2.499938262158031
2002-01,,,,18.6,,7.9,,-1.0,-4.2,2.15,2.1383548387096774
2002-02,,,,2.7,,9.1,24.520442545965878,0.0,-4.2,2.15,2.7008885818966637
2002-03,9.0,,,10.9,,8.3,-14.342170475538751,-0.8,-4.0,1.97,2.8068598600516688
2002-04,,,,12.1,,8.2,5.772440770704655,-1.3,-3.06,1.97,2.57499792936261
2002-05,,,,12.9,,9.3,-14.750558046439547,-1.1,-2.63,1.97,2.526610314173812
2002-06,8.9,,,12.4,,8.6,-22.939459509758827,-0.8,-2.5,1.97,2.322241222760325
2002-07,,,,12.8,,8.6,19.866900549429744,-0.9,-2.3,1.97,2.1577975679208206
2002-08,,,,12.7,,8.8,1.9711292575420885,-0.7,-1.7,1.97,2.780413012939843
2002-09,9.7,,,13.8,,9.1,-7.1189994353614345,-0.7,-1.4,1.97,2.5903087395239592
2002-10,,,,14.2,,9.4,6.134091465317837,-0.8,-1.0,1.97,2.7812841142277263
2002-11,,,,14.5,,9.1,4.718867978614201,-0.7,-0.4,1.97,2.822897607423391
2002-12,9.2,,,14.9,,9.2,-11.891816857849893,-0.4,0.4,1.97,2.614064928824698
2003-01,,,,14.8,,10.0,,0.4,2.4,2.3,2.3061225806451615
2003-02,,,,19.8,,8.5,37.53222679138346,0.2,4.0,2.3,2.8416660012515025
2003-03,11.2,,,16.9,,9.3,-7.169530597640879,0.9,4.6,2.3,2.9634491457659546
2003-04,,,,14.9,,7.7,6.72413317769567,1.0,3.6,2.3,2.596294703556159
2003-05,,,,13.7,,4.3,-0.16273389136178906,0.7,2.0,2.3,2.5574269808404786
2003-06,9.2,,,16.9,,8.3,-5.773718954353598,0.3,1.3,2.3,2.478105738889357
2003-07,,,,16.5,,9.8,33.46174935551445,0.5,1.4,2.3,2.4380242345874876
2003-08,,,,17.1,,9.9,9.119706465931621,0.9,1.4,2.3,2.948035593585004
2003-09,10.1,,,16.3,,9.5,-4.350477420492716,1.1,1.4,2.9337,3.221857126620733
2003-10,,,,17.2,,10.2,11.438717860799244,1.8,1.2,2.6,3.629847447561061
2003-11,,,,17.9,,9.7,13.888469774906012,3.0,1.9,3.7561,3.567213736455649
2003-12,10.1,,,18.1,,10.9,3.3208312045236976,3.2,3.0,3.7561,2.5276549288246977
2004-01,,,,7.2,,11.8,,3.2,3.5,3.7561,2.2533870967741936
2004-02,,,,23.2,,9.2,69.74602879510856,2.1,3.5,3.7561,3.1289337431869866
2004-03,10.6,,,19.4,,11.1,4.19686600557695,3.0,4.0,3.7561,2.825803948721619
2004-04,,,,19.1,,13.2,20.45548816457748,3.8,5.0,3.7561,2.530723735814223
2004-05,,,,17.5,,17.8,-5.0536701366726575,4.4,5.7,3.7561,2.8624936475071454
2004-06,11.6,,,16.2,,13.9,-0.4477651018692157,5.0,6.4,3.7561,2.6754960614700023
2004-07,,,,15.5,,13.2,39.870148732250875,5.3,6.4,3.7561,2.5638609012541544
2004-08,,,,15.9,,13.1,17.753310780072077,5.3,6.8,3.7561,3.1664194645527464
2004-09,9.8,,,16.1,,14.0,9.017087480165028,5.2,7.9,3.7561,2.7031442233949265
2004-10,,,,15.7,,14.2,22.91535232928406,4.3,8.4,3.7561,2.6943041142277266
2004-11,,,,14.8,,13.9,23.859308397477783,2.8,8.1,3.7561,2.692123413875004
2004-12,8.8,,,14.4,,14.5,2.1569249191789464,2.4,7.1,3.7561,2.250154928824698
2005-01,,54.7,,20.9,,11.5,,1.9,5.8,3.7561,1.846035483870968
2005-02,,54.77980021116614,,7.6,,15.8,28.437525669069032,3.9,5.38,3.7561,2.5550724528644055
2005-03,11.2,56.578958181926886,,15.1,,13.9,-16.493345872963697,2.7,5.6,3.7561,2.6877848600516683
2005-04,,56.421566860321214,,16.0,,12.2,2.33754093763406,1.8,5.78,3.7561,2.028933413233578
2005-05,,52.95565880775029,,16.6,,12.8,-7.832555279184447,1.8,5.9,3.7561,1.772930314173812
2005-06,11.1,51.75541886905355,,16.8,,12.9,-14.250049420394564,1.6,5.2,3.7561,1.4796992872764534
2005-07,,50.96325236741876,,16.1,,12.7,23.16531971718709,1.8,5.2,3.7561,1.3449809012541538
2005-08,,52.36083539818919,,16.0,,12.5,5.843216979838527,1.3,5.3,3.7561,2.070783980681779
2005-09,10.9,54.51164044336196,,16.5,,12.7,-1.922850275408937,0.9,4.5,3.7561,1.7561571266207336
2005-10,,53.85657452934135,,16.1,,12.8,10.652301064312685,1.2,4.0,3.7561,1.6616641142277264
2005-11,,53.76766306371236,,16.6,,12.4,16.72479841517613,1.3,3.2,3.7561,1.7061201880685526
2005-12,12.4,54.17588124006133,,16.5,,12.5,12.35172042941707,1.6,3.2,3.7561,1.8426515954913643
2006-01,,52.1,,12.6,,15.5,,1.9,3.05,3.7561,1.493067741935484
2006-02,,52.37980021116614,,20.1,,9.4,25.3997129173003,0.9,3.01,3.7561,2.2737079367353736
2006-03,12.4,53.978958181926885,,17.8,,13.5,-13.019589859970118,0.8,2.49,3.7561,2.2269812886230973
2006-04,,57.82156686032121,,16.6,,13.554756,5.545931426750002,1.2,1.87,3.7561,2.2035914777497068
2006-05,,54.85565880775029,,17.9,,14.2,-6.947840884109517,1.4,2.43,3.7561,2.355286980840478
2006-06,13.6,54.15541886905355,,19.5,,13.9,-10.523835925618968,1.5,3.52,3.7561,2.1531089646958086
2006-07,,52.26325236741876,,16.7,,13.7,22.61464392552432,1.0,3.58,3.7561,2.279860901254154
2006-08,,52.86083539818919,,15.7,,13.8,-2.534516155756542,1.3,3.4,3.7561,3.424164625843069
2006-09,12.2,56.41164044336196,,16.1,,13.9,-9.503794474537916,1.5,3.5,3.7561,2.7261635782336366
2006-10,,54.45657452934135,,14.7,,14.348977,-0.7275355461314916,1.4,2.9,3.7561,2.7962241142277264
2006-11,,54.96766306371236,,14.9,,14.1,9.87886415242278,1.9,2.78,3.7561,3.4026976074233914
2006-12,12.5,54.67588124006133,,14.7,,14.6,5.332864534825967,2.8,3.1,3.7561,3.0247849288246984
2007-01,,55.1,,24.71,,12.748329,,2.2,3.3,3.7561,1.679232258064516
2007-02,,53.37980021116614,,12.6,,16.857995,23.4394892427419,2.7,2.6,3.7561,2.9927143883482756
2007-03,13.6,54.77895818192689,,17.6,,15.338037,-17.32767879984674,3.3,2.7,3.7561,2.51128843148024
2007-04,,58.32156686032121,,17.4,,15.5,3.1402956017614194,3.0,2.9,3.7561,2.855462445491643
2007-05,,55.755658807750294,,18.1,,15.9,-10.499823728624389,3.4,2.8,3.7561,3.3882036475071455
2007-06,14.9,54.55541886905355,,19.4,,15.9827,-14.533583558291696,4.4,2.49,3.7561,3.1548154163087117
2007-07,,53.16325236741876,,18.0,,16.4,23.02942164189863,5.6,2.4,3.7561,2.899317567920821
2007-08,,53.76083539818919,,17.5,,17.1,4.7084228833943556,6.5,2.6,3.7561,2.9721904322946817
2007-09,14.2,55.51164044336196,,18.9,,17.010498,-7.064080013288205,6.2,2.7,3.7561,3.828160352427185
