variable,mean_train,std_train,train_n_obs,train_n_missing,invalid_for_standardization
GDP同比,10.059999999999999,2.304213531771741,40,80,False
制造业PMI_去季节性,52.12013985619345,2.833183820731688,120,0,False
服务业PMI,53.77337142857144,1.2276649865430198,35,85,False
工业增加值,13.203983333333333,4.595815584099905,120,0,False
社零,15.58014075983051,3.1307947506300957,118,2,False
固投累计同比_去季节性,23.701196105748146,4.265224975018561,110,10,False
CPI,2.9256250000000006,2.2113393610076373,120,0,False
PPI,1.862435,4.338078994740452,120,0,False
逆回购7天(19日),3.7482233333333346,0.18864419097573307,120,0,False
银行间7天回购(20-19均值),2.746704000829052,1.1363837270276251,120,0,False
