month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)
1999-01,,,,17.9,,5.9,,-1.2,-4.92,,4.0535
1999-02,,,,2.1,,10.6,29.28336520076482,-1.3,-4.89,,4.037967741935484
1999-03,9.0,,,9.0,,5.8,-5.927670792184724,-1.8,-4.62,,4.052821428571428
1999-04,,,,9.1,,5.7,-8.334549255693592,-2.2,-3.86,,4.049838709677418
1999-05,,,,8.9,,5.3,-14.643812558792725,-2.2,-3.42,,4.020499999999999
1999-06,7.9,,,9.1,,5.4,-28.39351470079818,-2.1,-3.6,,3.5587741935483876
1999-07,,,,9.3,,5.6,-3.3539295857145923,-1.4,-2.51,,2.6722000000000006
1999-08,,,,9.5,,6.0,-12.02521679992984,-1.3,-2.3,,2.6123548387096776
1999-09,7.7,,,8.2,,6.6,-27.549655744431252,-0.8,-2.1,,2.5776129032258064
1999-10,,,,7.0,,8.2,-13.783224510451598,-0.6,-0.74,,2.568600000000001
1999-11,,,,7.6,,7.8,-5.044350913914738,-0.9,-1.04,2.57,2.5789999999999993
1999-12,6.8,,,7.4,,8.0,-12.987612247903726,-1.0,-0.83,2.57,2.5700666666666674
2000-01,,,,8.9,,11.3,,-0.2,0.03,2.57,2.5667419354838716
2000-02,,,,12.0,,10.5,12.976963759628,0.7,1.2,2.53,2.514903225806451
2000-03,8.8,,,11.9,,9.3,-19.30399298105778,-0.2,1.87,2.5,2.47803448275862
2000-04,,,,11.4,,9.1,-11.890520755074352,-0.3,2.59,2.48,2.4292903225806453
2000-05,,,,11.5,,11.5,-19.649812123020475,0.1,0.67,2.48,2.3957333333333333
2000-06,9.2,,,12.2,,8.9,-15.618881840679048,0.5,2.95,2.48,2.3779903225806445
2000-07,,,,12.8,,9.1,6.1351584326231485,0.5,4.5,2.48,2.361866666666667
2000-08,,,,12.8,,9.3,-1.355417220545739,0.3,3.92,2.48,2.3395806451612904
2000-09,8.9,,,12.0,,9.6,-1.5734739498114543,0.0,3.7,2.48,2.312935483870968
2000-10,,,,11.4,,10.4,-3.5587581364338465,0.0,3.6,2.4,2.298166666666667
2000-11,,,,10.6,,8.7,-5.406140457509588,1.3,3.5,2.4,2.302741935483871
2000-12,7.6,,,10.4,,8.8,-21.103683892013066,1.5,2.8,2.4,2.350666666666667
2001-01,,,,2.3,,12.5,,1.2,1.43,2.5,2.5238387096774195
2001-02,,,,19.0,,8.6,18.41716673473876,0.0,0.9,2.5,2.479870967741936
2001-03,9.5,,,12.1,,9.5,-16.403734138295214,0.8,0.2,2.5,2.507357142857143
2001-04,,,,11.5,,9.7,-0.42361974071058484,1.6,-0.1,2.5,2.456745161290323
2001-05,,,,10.2,,11.1,-8.095391295620175,1.7,-0.2,2.5,2.369906666666666
2001-06,8.6,,,10.1,,10.0,-16.26807136269261,1.4,-0.6,2.5,2.3670290322580643
2001-07,,,,8.1,,9.8,9.951556658839126,1.5,-1.3,2.5,2.3162999999999996
2001-08,,,,8.1,,9.6,7.531306277716748,1.0,-2.0,2.5,2.301012903225806
2001-09,8.0,,,9.5,,9.9,-9.584394833573354,-0.1,-2.9,2.5,2.28161935483871
2001-10,,,,8.8,,10.5,-2.383226696085327,0.2,-3.1,2.5,2.2212533333333337
2001-11,,,,7.9,,10.1,-2.007092476341329,-0.3,-3.7,2.5,2.1427548387096773
2001-12,7.5,,,8.7,,9.6,-6.9033422468756775,-0.3,-4.0,2.5,2.1395833333333334
2002-01,,,,18.6,,7.9,,-1.0,-4.2,2.15,2.1383548387096774
2002-02,,,,2.7,,9.1,24.520442545965878,0.0,-4.2,2.15,2.1354387096774197
2002-03,9.0,,,10.9,,8.3,1.780691232966774,-0.8,-4.0,1.97,1.9660214285714288
