variable,mean_train,std_train,train_n_obs,train_n_missing,invalid_for_standardization
GDP同比,5.787499999999999,1.174440863812475,48,72,False
制造业PMI一阶差分_去季节性,0.21890164724706765,0.6093063306165549,120,0,False
服务业PMI,52.27295833333333,2.020015558503751,120,0,False
工业增加值,5.783027883333332,3.6789416638191956,120,0,False
用电量,5.9522474778761065,4.458862664535084,113,7,False
社零,6.689398580357143,4.4450039945938356,112,8,False
固投当月同比_去季节性,-18.060206376807187,25.098641334359456,112,8,False
CPI,1.5762456249999999,1.0587096683507244,120,0,False
PPI,0.8360006416666667,4.674654002739917,120,0,False
失业率差分_去季节性,0.12453933296007232,0.10920816989431348,83,37,False
逆回购7天(19日),2.2821083333333334,0.39971756269965864,120,0,False
银行间7天回购(20-19均值),2.506652091622592,0.5415702851429348,120,0,False
