variable,mean_train,std_train,train_n_obs,train_n_missing,invalid_for_standardization
GDP同比,8.0025,1.4979131316601775,40,80,False
制造业PMI_去季节性,51.066016657983546,1.6372877623612747,120,0,False
服务业PMI,53.34108433734939,0.9933999207397621,83,37,False
工业增加值,9.35768425,4.456125559421107,120,0,False
用电量,7.159105679,5.831219142865135,100,20,False
社零,13.182940165438595,3.209502371312054,114,6,False
固投当月同比_去季节性,-3.641967541032379,14.249305071276094,109,11,False
CPI,2.2439786249999996,1.5975226792070019,120,0,False
PPI,0.40653749999999994,4.61356735363324,120,0,False
逆回购7天(19日),3.2662,0.670689915932343,120,0,False
银行间7天回购(20-19均值)_去季节性,3.497968173447738,1.0163632992632115,120,0,False
