month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,社零,固投累计同比_去季节性,CPI,PPI,逆回购7天(19日),银行间7天回购(20-19均值)
1993-12,14.2,,,25.2,0.0,64.92708036275079,18.8,,,
1994-01,,,,27.7,,,21.1,,,
1994-02,,,,3.4,0.0,39.3,23.2,,,
1994-03,14.2,,,16.0,0.0,29.01795300284124,22.4,,,
1994-04,,,,16.8,0.0,34.299040227546804,21.7,,,
1994-05,,,,17.6,0.0,30.03338150568557,21.3,,,
1994-06,13.4,,,15.1,0.0,35.08708764896514,22.6,,,
1994-07,,,,15.1,0.0,42.370823918394045,24.0,,,
1994-08,,,,29.4,0.0,40.798031767018834,25.8,,,
1994-09,13.1,,,21.8,0.0,40.74639226426951,27.3,,,
1994-10,,,,24.4,0.0,37.33331732612307,27.7,,,
1994-11,,,,23.5,0.0,35.03995530089722,27.5,,,
1994-12,12.1,,,18.5,0.0,32.227080362750776,25.5,,,
1995-01,,,,11.4,34.3,,24.1,,,
1995-02,,,,15.5,28.3,31.3,22.4,,,
1995-03,12.0,,,16.4,31.3,35.31795300284124,21.3,,,
1995-04,,,,15.4,32.3,30.39904022754681,20.7,,,
1995-05,,,,13.1,30.6,26.63338150568557,20.3,,,
1995-06,11.0,,,13.9,28.0,23.987087648965133,18.2,,,
1995-07,,,,13.6,29.7,12.970823918394048,16.7,,,
1995-08,,,,11.8,27.3,15.798031767018836,14.5,,,
1995-09,10.5,,,11.4,25.8,16.546392264269514,13.2,,,
1995-10,,,,12.9,25.9,16.933317326123074,12.1,,,
1995-11,,,,12.1,24.5,16.439955300897214,11.2,,,
1995-12,10.8,,,14.9,23.7,21.02708036275078,10.1,,,
1996-01,,,,16.9,19.1,,9.0,,,
1996-02,,,,12.2,28.1,7.0,9.3,,,
1996-03,11.0,,,12.2,21.3,14.317953002841241,9.8,,,
1996-04,,,,13.7,18.6,15.19904022754681,9.7,,,
1996-05,,,,13.1,19.3,15.03338150568557,8.9,,,
