month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
2006-01,,52.1,,12.6,,15.5,,1.9,3.05,,3.7561,1.493067741935484
2006-02,,52.00725356047783,,20.1,,9.4,-2.854365680687568,0.9,3.01,,3.7561,2.024925628020045
2006-03,12.4,54.72881375353126,,17.8,,13.5,2.785938431201142,0.8,2.49,,3.7561,1.4793954920882766
2006-04,,58.61713477487997,,16.6,,13.554756,18.035424927990288,1.2,1.87,,3.7561,1.694645329954551
2006-05,,54.97507977892669,,17.9,,14.2,1.2930938323109444,1.4,2.43,,3.7561,1.928632306007539
2006-06,13.6,54.11940693779223,,19.5,,13.9,-2.239507380663241,1.5,3.52,,3.7561,1.9532194875959428
2006-07,,52.552593532416125,,16.7,,13.7,45.945178971569675,1.0,3.58,,3.7561,2.1588544002182815
2006-08,,53.08365425670442,,15.7,,13.8,-7.0154915542043135,1.3,3.4,,3.7561,2.8116382889571048
2006-09,12.2,56.795101514590066,,16.1,,13.9,-9.589971387467674,1.5,3.5,,3.7561,2.2587329743648623
2006-10,,55.01430228590767,,14.7,,14.348977,14.88458691330998,1.4,2.9,,3.7561,2.342851818494113
2006-11,,55.15156946375732,,14.9,,14.1,17.147673612607047,1.9,2.78,,3.7561,2.8952026300922817
2006-12,12.5,54.88201741791143,,14.7,,14.6,1.3880667433817848,2.8,3.1,,3.7561,2.757853318696344
2007-01,,55.1,,24.71,,12.748329,,2.2,3.3,,3.7561,1.679232258064516
2007-02,,53.00725356047783,,12.6,,16.857995,-4.8145893552459675,2.7,2.6,,3.7561,2.743932079632947
2007-03,13.6,55.52881375353127,,17.6,,15.338037,-1.5221505086754803,3.3,2.7,,3.7561,1.7637026349454195
2007-04,,59.11713477487997,,17.4,,15.5,15.629789103001706,3.0,2.9,,3.7561,2.3465162976964864
2007-05,,55.8750797789267,,18.1,,15.9,-2.2588890122039267,3.4,2.8,,3.7561,2.961548972674206
2007-06,14.9,54.519406937792226,,19.4,,15.9827,-6.249255013335969,4.4,2.49,,3.7561,2.954925939208846
2007-07,,53.452593532416124,,18.0,,16.4,46.35995668794398,5.6,2.4,,3.7561,2.778311066884948
2007-08,,53.98365425670442,,17.5,,17.1,0.22744748494658396,6.5,2.6,,3.7561,2.3596640954087174
2007-09,14.2,55.89510151459007,,18.9,,17.010498,-7.150256926217963,6.2,2.7,,3.7561,3.360729748558411
2007-10,,53.51430228590767,,17.9,,18.1,29.439680862321286,6.5,3.2,,3.7561,3.2703284851607792
2007-11,,55.25156946375732,,17.3,,18.8,19.46879062907703,6.9,4.55,,3.7561,3.97549940428583
2007-12,13.9,55.38201741791143,,17.4,,20.2,0.4647919746118845,6.5,5.43,,3.7561,3.3274833186963426
2008-01,,53.0,,15.4,,21.2,,7.1,6.1,,3.7561,2.474238709677419
2008-02,,53.307253560477825,,15.4,,19.1,-3.980512069398017,8.7,6.62,,3.7561,3.2975998215684315
2008-03,11.6,57.828813753531264,,17.8,,21.5,-1.046127156652421,8.3,7.95,,3.7561,2.975066428048867
2008-04,,59.71713477487997,,15.7,,22.0,15.15019854600395,8.5,8.12,,3.7561,2.9508937170513247
2008-05,,53.47507977892669,,16.0,,21.6,-3.881773583035283,7.7,8.22,,3.7561,3.224198972674206
