month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零_去季节性,CPI,PPI,失业率差分,逆回购7天(19日),银行间7天回购(20-19均值)
2011-01,,2.645024550171454,,1.654165503289872,,2.8828353159849227,1.898615167939547,1.6545680546164125,,1.0947709791279685,0.9724383486002056
2011-02,,1.893274089735229,,2.1360369973448017,2.078624167976954,0.5469914009464564,1.9334075811344025,1.8160268283868704,,1.0947709791279685,2.052593358386405
2011-03,2.421578022199667,2.014659456328565,,2.1059200289663687,1.5647606508214627,1.4475821135337201,2.280540976419439,1.8365295298180395,,1.0947709791279685,-0.4313001860982461
2011-04,,2.4903681634840957,,1.6842824716683051,1.0999380502409764,1.540325350570963,2.249702246542181,1.710950483552128,,1.0947709791279685,-0.9527822861511924
2011-05,,1.7417581836227034,,1.654165503289872,1.0061206446192266,1.3681434500333085,2.3849182160040057,1.7032619705154395,,1.0947709791279685,0.1719889150993071
2011-06,2.264986371803384,0.35736217410493987,,2.1068235380177223,1.477339886492105,1.4525117360877733,3.04913701336034,1.7878356139190126,,1.0947709791279685,1.6533296863847045
2011-07,,-0.02542487097639311,,1.8649842819389035,1.2236064485605553,1.5265385772775117,3.0498961205573187,1.895474796432651,,1.0947709791279685,2.7068279047119987
2011-08,,0.25183736165564025,,1.714399440046738,0.6436443047170126,1.360793935952962,2.8878267340023727,1.8211525037446625,,1.0947709791279685,1.2041927943316384
2011-09,1.7952114206145344,0.3263866759788735,,1.8047503451820375,1.3003661440692593,1.43344966670218,2.82140485426674,1.6340653531852432,,1.0947709791279685,1.1465459900691164
2011-10,,-0.1992286033679784,,1.6240485349114384,1.1255246154105443,1.4476708024844729,2.369103482733617,1.2445140259930279,,1.0947709791279685,1.3026432400492791
2011-11,,-1.7601449486973102,,1.383112787883974,0.8184858333757277,1.3604901653541774,1.364867920063921,0.6601870352047049,,1.0947709791279685,0.7432009878482791
2011-12,1.3254364694256833,-0.38977485472829687,,1.5035806613977065,,1.5115621649646813,1.2423037372184076,0.3962147542784009,,1.0947709791279685,0.5765820050405314
2012-01,,-0.04801956090267801,,-1.508116176445604,,1.375146223769629,1.5823205025317688,0.15018233710437015,,1.0947709791279685,2.0884836552550796
2012-02,,0.5467520341981589,2.6670585964332543,4.06352297356452,3.5882315129814693,1.6038157180913541,0.5543628399564899,-0.02921630041836063,,1.0947709791279685,1.097534295949225
