month,GDP同比,制造业PMI_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)_去季节性
2016-01,,-0.920597088177957,0.3257034494410099,0.008005242483486,,,,0.312803716684961,-1.4552858511029059,,0.3464134567823069,-0.1023085106593134
2016-02,,-1.4340707744815973,0.08895734772121533,-0.20067983641285644,-0.6514099474748589,0.9645181877725194,-1.413262567450711,0.7442241426201657,-1.3642599640511675,,0.3464134567823069,0.4682265212473803
2016-03,1.0430373485252105,-0.682158345491949,0.5151003308168448,0.21135537214832203,-0.23859614051662628,1.0336163826090912,1.188765172144073,0.7454243542451178,-1.2277211334735594,,0.3464134567823069,-0.02579246092279383
2016-04,,0.34773613446697227,0.2310050087530907,0.037231126495143686,-1.1955081274412944,0.941485456160329,0.7021900076260751,0.7682672029575349,-1.0229128876071474,,0.3464134567823069,0.16746218494195622
2016-05,,-0.008707313122469924,-0.005741092966703833,0.037231126495143686,-1.1526969422522229,0.9184527245481384,0.7820371081440493,0.5190218174411371,-0.8863740570295394,,0.3464134567823069,0.28777385267847
2016-06,0.9548933472413901,-0.2751349637257854,0.08895734772121533,0.08076218790843832,-1.0029222610919537,1.0566491142212815,0.8960104641940206,0.3814021529312141,-0.8408611135036701,,0.3464134567823069,0.13192410903115345
2016-07,,-0.2405523839025347,0.27835422909705027,0.037231126495143686,0.4054819500076026,0.9645181877725194,0.8039804147364695,0.28270178788575795,-0.6360528676372582,,0.3464134567823069,0.08486988708591024
2016-08,,0.10443432093394647,0.3257034494410099,0.10252771861508554,0.4339796771959021,1.0566491142212815,-0.07329067052023658,-0.08429894004880202,-0.4312446217708463,,0.3464134567823069,0.39740911411733376
2016-09,0.9548933472413901,-0.09204984169136321,0.13630656806517155,0.05899665720179091,0.0750602834758319,1.079681845833472,0.27818226826732884,0.41653962094193286,-0.22643637590443438,,0.3464134567823069,0.09573639047678956
2016-10,,1.2826427561484552,0.27835422909705027,0.05899665720179091,0.10434486481659597,0.9184527245481384,0.8585612942654859,0.5681588782734529,0.023884813487846816,,0.3464134567823069,0.1730669916908963
2016-11,,1.321477567836091,0.7991956528805989,0.08076218790843832,0.09938396342594488,1.1027145774456628,0.5922482071784279,0.7030303946701687,0.5017707205094745,,0.3464134567823069,0.5748207635838649
2016-12,1.0430373485252105,1.2489998338415365,0.5624495511608044,0.037231126495143686,0.07700652441382519,1.1257473090578534,0.6945757734424002,0.5514180400654634,1.002413099294037,,0.3464134567823069,0.9839055879424504
2017-01,,1.0593259020784076,0.7044972121926798,-0.6293926652226964,,,,0.9591189709827508,1.3210037039751223,,0.3464134567823069,0.5340012484435921
2017-02,,1.2752975279744843,0.5624495511608044,0.9780638213698454,2.7100490833832227,0.8032890664871858,-1.3549648977454323,-0.5500371351854487,1.5258119498415341,,0.6331004554986995,1.1174649360050586
2017-03,1.219325351092852,0.9851452252502482,1.0359417546003935,0.38547961780150036,0.33523406764670255,1.1257473090578534,1.153048048982111,-0.46375304999840783,1.4802990063156647,,0.9197874542150922,1.4727548152452539
2017-04,,1.4940073393522384,0.27835422909705027,0.1460587800283802,-0.1410137399071935,1.079681845833472,0.5819691642738454,-0.20490079443728493,1.207221345160449,,0.9197874542150922,1.7572381821159038
2017-05,,1.1375638917627962,0.7044972121926798,0.1460587800283802,-0.3879593030706034,1.079681845833472,0.6741453517378952,0.053951461123838036,1.002413099294037,,0.9197874542150922,2.25234557424287
2017-06,1.219325351092852,1.4963750801878084,0.8465448732245552,0.38547961780150036,-0.016107013460529486,1.148780040670044,0.965462132929904,0.053951461123838036,1.002413099294037,,0.9197874542150922,1.7935280772841975
2017-07,,1.3225447136682806,0.5151003308168448,0.12429324932173295,0.8560989008619869,1.0105836509969006,0.7799889703046005,-0.03233262406320302,1.002413099294037,,0.9197874542150922,1.7162050457558047
2017-08,,1.459118472161991,0.27835422909705027,0.037231126495143686,-0.037339080252659806,0.941485456160329,-0.07562889252695092,0.312803716684961,1.1844648733975143,,0.9197874542150922,2.2444438742517954
