month,GDP同比,制造业PMI一阶差分_去季节性,服务业PMI,工业增加值,用电量,社零,固投当月同比_去季节性,CPI,PPI,失业率差分_去季节性,逆回购7天(19日),银行间7天回购(20-19均值)
2005-08,,1.6431698870605675,,16.0,,12.5,0.8110642623492375,1.3,5.3,,3.7561,1.2405225806451616
2005-09,10.9,2.4927322765127213,,16.5,,12.7,-2.259952407267285,0.9,4.5,,3.7561,1.2155258064516132
2005-10,,-0.42607356591334156,,16.1,,12.8,23.97513332984813,1.2,4.0,,3.7561,1.1436166666666665
2005-11,,0.0003083019136979545,,16.6,,12.4,22.907864834659843,1.3,3.2,,3.7561,1.116583870967742
2005-12,12.4,0.7258959666960049,,16.5,,12.5,6.8910847022746005,1.6,3.2,,3.7561,1.4822966666666664
2006-01,,-2.199999999999996,,12.6,,15.5,,1.9,3.05,,3.7561,1.493067741935484
2006-02,,0.2739977529889415,,20.1,,9.4,3.2231803889433728,0.9,3.01,,3.7561,1.7082580645161294
2006-03,12.4,2.9936619395980877,,17.8,,13.5,-3.1205650444292417,0.8,2.49,,3.7561,1.3861428571428571
2006-04,,3.691641228729635,,16.6,,13.554756,17.501017213666373,1.2,1.87,,3.7561,1.5805645161290323
2006-05,,-2.918132075549365,,17.9,,14.2,-0.43432588288401064,1.4,2.43,,3.7561,1.7795066666666666
2006-06,13.6,-0.4537265440768438,,19.5,,13.9,-2.497366742525692,1.5,3.52,,3.7561,1.7819806451612903
2006-07,,-1.2905554009952986,,16.7,,13.7,44.563095105725786,1.0,3.58,,3.7561,2.07187
2006-08,,0.8431698870605704,,15.7,,13.8,-7.566668873245831,1.3,3.4,,3.7561,2.593903225806452
2006-09,12.2,3.8927322765127204,,16.1,,13.9,-9.840896606396264,1.5,3.5,,3.7561,2.1855322580645162
2006-10,,-1.7260735659133388,,14.7,,14.348977,12.595296719403954,1.4,2.9,,3.7561,2.2781766666666665
2006-11,,0.6003083019136922,,14.9,,14.1,16.061930571906494,1.9,2.78,,3.7561,2.8131612903225807
2006-12,12.5,0.02589596669600913,,14.7,,14.6,-0.12777119231650147,2.8,3.1,,3.7561,2.6644300000000007
2007-01,,0.3000000000000042,,24.71,,12.748329,,2.2,3.3,,3.7561,1.679232258064516
2007-02,,-1.7260022470110585,,12.6,,16.857995,1.2629567143849734,2.7,2.6,,3.7561,2.4272645161290316
2007-03,13.6,2.7936619395980915,,17.6,,15.338037,-7.428653984305864,3.3,2.7,,3.7561,1.67045
2007-04,,3.3916412287296307,,17.4,,15.5,15.095381388677792,3.0,2.9,,3.7561,2.232435483870968
2007-05,,-2.5181320755493593,,18.1,,15.9,-3.9863087273988818,3.4,2.8,,3.7561,2.8124233333333337
2007-06,14.9,-0.953726544076851,,19.4,,15.9827,-6.5071143751984195,4.4,2.49,,3.7561,2.7836870967741936
2007-07,,-0.7905554009952985,,18.0,,16.4,44.977872822100096,5.6,2.4,,3.7561,2.691326666666667
2007-08,,0.8431698870605704,,17.5,,17.1,-0.3237298340949337,6.5,2.6,,3.7561,2.1419290322580644
2007-09,14.2,2.0927322765127228,,18.9,,17.010498,-7.401182145146553,6.2,2.7,,3.7561,3.287529032258065
2007-10,,-2.3260735659133402,,17.9,,18.1,27.150390668415262,6.5,3.2,,3.7561,3.205653333333333
2007-11,,2.200308301913694,,17.3,,18.8,18.383047588376478,6.9,4.55,,3.7561,3.8934580645161287
2007-12,13.9,0.4258959666960077,,17.4,,20.2,-1.0510459610864018,6.5,5.43,,3.7561,3.2340599999999995
2008-01,,-2.299999999999997,,15.4,,21.2,,7.1,6.1,,3.7561,2.474238709677419
2008-02,,0.67399775298894,,15.4,,19.1,2.0970340002329237,8.7,6.62,,3.7561,2.980932258064516
2008-03,11.6,4.793661939598091,,17.8,,21.5,-6.952630632282805,8.3,7.95,,3.7561,2.8818137931034475
2008-04,,1.691641228729635,,15.7,,22.0,14.615790831680036,8.5,8.12,,3.7561,2.8368129032258063
2008-05,,-5.518132075549366,,16.0,,21.6,-5.609193298230238,7.7,8.22,,3.7561,3.0750733333333335
2008-06,11.0,-1.0537265440768453,,16.0,,23.0,-5.464578486122598,7.1,8.84,,3.7561,3.427193548387096
2008-07,,-3.190555400995297,,14.7,,23.3,47.817897298973776,6.3,10.03,,3.7561,3.0590299999999995
2008-08,,0.1431698870605675,,12.8,,23.2,0.432218106723969,4.9,10.06,,3.7561,3.261051612903226
2008-09,9.5,2.7927322765127256,,11.4,,23.2,-3.158614573983627,4.6,9.13,,3.7561,3.050958064516129
2008-10,,-6.026073565913343,,8.2,,22.0,20.824413294225263,4.0,6.59,,3.7561,3.31933
2008-11,,-5.799691698086306,,5.4,,20.8,16.115027974051035,2.4,1.99,,3.7561,2.8392161290322577
2008-12,7.1,2.925895966696015,,5.7,,19.0,2.5136419847427582,1.2,-1.14,,3.7561,1.9375666666666667
2009-01,,4.099999999999994,,-2.93,,18.5,,1.0,-3.35,,3.7561,1.0609709677419354
